檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N06昌平_110學年度財務報告.pdf,6,110學年度,教保費收入,"11,741,812",110
N06昌平_110學年度財務報告.pdf,6,110學年度,教保費收入減項,"(89,167)",110
N06昌平_110學年度財務報告.pdf,6,110學年度,延後托育收入淨額,"547,530",110
N06昌平_110學年度財務報告.pdf,6,110學年度,利息收入,"28,253",110
N06昌平_110學年度財務報告.pdf,6,110學年度,其他收入,"1,830,781",110
N06昌平_110學年度財務報告.pdf,6,110學年度,收入合計,"14,059,209",110
N06昌平_110學年度財務報告.pdf,6,110學年度,人事費,"7,099,629",110
N06昌平_110學年度財務報告.pdf,6,110學年度,業務費,"532,499",110
N06昌平_110學年度財務報告.pdf,6,110學年度,材料費,"1,462,619",110
N06昌平_110學年度財務報告.pdf,6,110學年度,維護費,"54,588",110
N06昌平_110學年度財務報告.pdf,6,110學年度,修繕購置費,"140,166",110
N06昌平_110學年度財務報告.pdf,6,110學年度,雜支,"23,313",110
N06昌平_110學年度財務報告.pdf,6,110學年度,行政管理費,"262,780",110
N06昌平_110學年度財務報告.pdf,6,110學年度,業務發展費,"613,100",110
N06昌平_110學年度財務報告.pdf,6,110學年度,延後托育支出,"397,224",110
N06昌平_110學年度財務報告.pdf,6,110學年度,其他支出,"1,830,781",110
N06昌平_110學年度財務報告.pdf,6,110學年度,支出合計,"12,416,699",110
N06昌平_110學年度財務報告.pdf,6,110學年度,本期稅前餘絀,"1,642,510",110
N06昌平_110學年度財務報告.pdf,6,110學年度,所得稅費用,"30,655",110
N06昌平_110學年度財務報告.pdf,6,110學年度,本期稅後餘絀,"1,611,855",110
