檔案名稱,報告學年度,項目,預算數,決算數,差異數,差異率,預決算檢查結果
N06昌平_110學年度財務報告.pdf,110學年度,收入,"$ 12,130,560","$ 14,059,209","$ 1,928,649",116,
N06昌平_110學年度財務報告.pdf,110學年度,教保費收入淨額,"12,130,560","11,652,645","(477,915)",96,
N06昌平_110學年度財務報告.pdf,110學年度,教保費收入,"12,130,560","11,741,812","(388,748)",97,
N06昌平_110學年度財務報告.pdf,110學年度,教保費收入（家長繳費）,"3,600,000","2,447,000","(1,153,000)",68,
N06昌平_110學年度財務報告.pdf,110學年度,教保費收入（政府學費差額補助）,"8,530,560","9,294,812","764,252",109,
N06昌平_110學年度財務報告.pdf,110學年度,教保費收入減項,-,"(89,167)","(89,167)",-,
N06昌平_110學年度財務報告.pdf,110學年度,五日未上課退費,-,"(87,620)","(87,620)",-,
N06昌平_110學年度財務報告.pdf,110學年度,轉學/轉出退費,-,"(1,547)","(1,547)",-,
N06昌平_110學年度財務報告.pdf,110學年度,延後托育收入淨額,-,"547,530","547,530",-,
N06昌平_110學年度財務報告.pdf,110學年度,延後托育收入淨額,-,"547,530","547,530",-,
N06昌平_110學年度財務報告.pdf,110學年度,延後托育收入,-,"547,530","547,530",-,
N06昌平_110學年度財務報告.pdf,110學年度,延後托育收入退費,-,-,-,-,
N06昌平_110學年度財務報告.pdf,110學年度,利息收入,-,"28,253","28,253",-,
N06昌平_110學年度財務報告.pdf,110學年度,其他收入,-,"1,830,781","1,830,781",-,
N06昌平_110學年度財務報告.pdf,110學年度,支出,"11,817,497","12,416,699","599,202",105,
N06昌平_110學年度財務報告.pdf,110學年度,人事費,"8,566,753","7,099,629","(1,467,124)",83,
N06昌平_110學年度財務報告.pdf,110學年度,園長及教保服務人員薪資（含職務加給）,"5,365,305","4,683,859","(681,446)",87,
N06昌平_110學年度財務報告.pdf,110學年度,會計、總務、廚工、清潔薪資,"1,195,804","1,085,846","(109,958)",91,
N06昌平_110學年度財務報告.pdf,110學年度,加班費,"651,300","182,717","(468,583)",28,
N06昌平_110學年度財務報告.pdf,110學年度,勞、健保費,"777,552","694,492","(83,060)",89,
N06昌平_110學年度財務報告.pdf,110學年度,保險費,"13,000","12,315",(685),95,
N06昌平_110學年度財務報告.pdf,110學年度,勞退金提撥,"349,920","341,969","(7,951)",98,
N06昌平_110學年度財務報告.pdf,110學年度,自強活動,"13,000","10,183","(2,817)",78,
N06昌平_110學年度財務報告.pdf,110學年度,健康檢查,"1,000","1,000",-,100,
N06昌平_110學年度財務報告.pdf,110學年度,代課費及廚工代班費,"151,272","38,648","(112,624)",26,
N06昌平_110學年度財務報告.pdf,110學年度,資遣費,"48,600","48,600",-,100,
N06昌平_110學年度財務報告.pdf,110學年度,業務費,"819,400","532,499","(286,901)",65,
N06昌平_110學年度財務報告.pdf,110學年度,活動費,"115,000","66,648","(48,352)",58,
N06昌平_110學年度財務報告.pdf,110學年度,研習、進修,"26,000","11,500","(14,500)",44,
N06昌平_110學年度財務報告.pdf,110學年度,水費,"32,000","4,525","(27,475)",14,
N06昌平_110學年度財務報告.pdf,110學年度,電費,"264,000","210,023","(53,977)",80,
N06昌平_110學年度財務報告.pdf,110學年度,瓦斯費,"34,000","18,720","(15,280)",55,
N06昌平_110學年度財務報告.pdf,110學年度,保全,"80,000","31,220","(48,780)",39,
N06昌平_110學年度財務報告.pdf,110學年度,辦公文具,"24,000","11,703","(12,297)",49,
