檔案名稱,報告學年度,項目,預算數,決算數,差異數,差異率,預決算檢查結果
N03龍埔成長_112學年度財務報告.pdf,112學年度,人事費,"$ 8,339,301","$ 5,280,926","$(3,058,375)",37,未超支
N03龍埔成長_112學年度財務報告.pdf,112學年度,人事費,"7,651,719","4,956,349","(2,695,370)",35,未超支
N03龍埔成長_112學年度財務報告.pdf,112學年度,加班費,"639,840","276,835","(363,005)",57,未超支
N03龍埔成長_112學年度財務報告.pdf,112學年度,資遣費,"47,742","47,742",-,,
N03龍埔成長_112學年度財務報告.pdf,112學年度,業務費,"562,700","480,975","(81,725)",15,未超支
N03龍埔成長_112學年度財務報告.pdf,112學年度,活動費,"95,000","91,946","(3,054)",3,未超支
N03龍埔成長_112學年度財務報告.pdf,112學年度,研習、進修,"24,000","24,000",-,-,未超支
N03龍埔成長_112學年度財務報告.pdf,112學年度,水費,"26,000","25,726",(274),1,未超支
N03龍埔成長_112學年度財務報告.pdf,112學年度,電費,"90,000","89,534",(466),1,未超支
N03龍埔成長_112學年度財務報告.pdf,112學年度,瓦斯費,"32,000","18,676","(13,324)",42,未超支
N03龍埔成長_112學年度財務報告.pdf,112學年度,保全,"60,000","60,000",-,-,未超支
N03龍埔成長_112學年度財務報告.pdf,112學年度,辦公文具,"18,000","11,142","(6,858)",38,未超支
N03龍埔成長_112學年度財務報告.pdf,112學年度,事務機器耗材,"60,000","58,800","(1,200)",2,未超支
N03龍埔成長_112學年度財務報告.pdf,112學年度,電話費（含ADSL）,"45,000","34,814","(10,186)",23,未超支
N03龍埔成長_112學年度財務報告.pdf,112學年度,郵資,"7,200","3,023","(4,177)",58,未超支
N03龍埔成長_112學年度財務報告.pdf,112學年度,文宣費（一般文宣）,"10,000","2,195","(7,805)",78,未超支
N03龍埔成長_112學年度財務報告.pdf,112學年度,文宣費（園刊）,"27,500","17,790","(9,710)",35,未超支
N03龍埔成長_112學年度財務報告.pdf,112學年度,攝影照片,"9,000","4,993","(4,007)",45,未超支
N03龍埔成長_112學年度財務報告.pdf,112學年度,園務特支,"39,000","38,336",(664),2,未超支
N03龍埔成長_112學年度財務報告.pdf,112學年度,差旅費,"20,000",-,"(20,000)",,
N03龍埔成長_112學年度財務報告.pdf,112學年度,材料費,"1,401,300","1,350,447","(50,853)",4,未超支
N03龍埔成長_112學年度財務報告.pdf,112學年度,教保材料費,"216,000","168,656","(47,344)",22,未超支
N03龍埔成長_112學年度財務報告.pdf,112學年度,日常消耗用品,"54,000","57,773","3,773",7,細項 20%內勻支後，已符合勻支規定
N03龍埔成長_112學年度財務報告.pdf,112學年度,藥品費,"6,300","6,381",81,1,細項 20%內勻支後，已符合勻支規定
N03龍埔成長_112學年度財務報告.pdf,112學年度,餐點費,"1,125,000","1,117,637","(7,363)",1,未超支
N03龍埔成長_112學年度財務報告.pdf,112學年度,維護費,"118,000","105,827","(12,173)",10,未超支
N03龍埔成長_112學年度財務報告.pdf,112學年度,修繕購置費,"126,000","105,781","(20,219)",16,未超支
N03龍埔成長_112學年度財務報告.pdf,112學年度,雜支,"33,762","5,992","(27,770)",82,未超支
N03龍埔成長_112學年度財務報告.pdf,112學年度,行政管理費,"117,840","117,840",-,-,未超支
N03龍埔成長_112學年度財務報告.pdf,112學年度,合計,"$ 10,698,903","$ 7,447,788","$(3,251,115)",30,
