檔案名稱,報告學年度,章節,內容
N03龍埔成長_112學年度財務報告.pdf,112學年度,關係人交易,"(一) 關係人之名稱及關係
關係人名稱：財團法人成長文教基金會，與本幼兒園之關係：本幼兒園之受託法人
(二) 與關係人之重大交易事項
1. 行政管理費
關係人名稱：財團法人成長文教基金會，112.8.1~113.7.31：$ 36,682，111.8.1~112.7.31：$ -
2. 其他應收款
關係人名稱：財團法人成長文教基金會，113 年 7 月 31 日：$ -，112 年 7 月 31 日：$ 72,664
主要係本幼兒園 111 學年度人事異動頻繁，為維持園務運作增聘人力，新聘人力於交接期之費用等，由行政管理費負擔仍有不足，而應向受託法人收回之款項，業於 112 年 9 月 15 日收回。
3. 其他應付款
關係人名稱：財團法人成長文教基金會，113 年 7 月 31 日：$ 36,682，112 年 7 月 31 日：$ -"
N03龍埔成長_112學年度財務報告.pdf,112學年度,質抵押資產,無。
N03龍埔成長_112學年度財務報告.pdf,112學年度,重大承諾事項及或有事項,新北市政府與龍埔成長幼兒園母機構財團法人成長文教基金會，簽訂委託辦理「龍埔成長非營利幼兒園」契約書，委託年限自 109 年 8 月 1 日至 113 年 7 月 31 日，依據契約書第 16 條規定，受託辦理之非營利幼兒園，連續 3 學年通過績效考評者，得於期間屆滿 8 個月前，提出後續 4 學年之經營計畫向新北市政府申請延長契約，申請期限最長不能超過 4 學年，並以延長 1 次為限。但未依政府採購法第 22 條第 1 項第 7 款規定於原招標公告及招標文件敘明延長期間者，不在此限。母機構已申請延長契約，新北市政府與母機構，已簽訂委託辦理新北市龍埔成長非營利幼兒園契約書，委託年限自 113 年 8 月 1 日至 117 年 7 月 31 日。
