檔案名稱,頁碼,科目,金額,欄位,年度,年度類別,原始年度標示
N03龍埔成長_112學年度財務報告.pdf,5,現金及銀行存款,"6,426,739",資產,112學年度,本年度,113年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,現金及銀行存款,"6,310,506",資產,111學年度,前一年度,112年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,應收帳款淨額,"6,000",資產,112學年度,本年度,113年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,應收帳款淨額,"80,339",資產,111學年度,前一年度,112年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,其他應收款,39,資產,112學年度,本年度,113年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,其他應收款,"73,304",資產,111學年度,前一年度,112年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,預付款項,"3,557",資產,112學年度,本年度,113年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,預付款項,"65,120",資產,111學年度,前一年度,112年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,其他流動資產,"5,535",資產,112學年度,本年度,113年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,其他流動資產,"3,533",資產,111學年度,前一年度,112年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,流動資產合計,"6,441,870",資產,112學年度,本年度,113年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,流動資產合計,"6,532,802",資產,111學年度,前一年度,112年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,資遣費準備金,"374,643",資產,112學年度,本年度,113年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,資遣費準備金,"326,901",資產,111學年度,前一年度,112年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,業務發展準備金,"5,929,501",資產,112學年度,本年度,113年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,業務發展準備金,"3,536,501",資產,111學年度,前一年度,112年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,代管財產,"112,760",資產,112學年度,本年度,113年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,代管財產,"187,464",資產,111學年度,前一年度,112年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,購置財產,"610,119",資產,112學年度,本年度,113年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,購置財產,"558,564",資產,111學年度,前一年度,112年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,存出保證金,"7,200",資產,112學年度,本年度,113年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,存出保證金,"7,200",資產,111學年度,前一年度,112年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,非流動資產合計,"7,034,223",資產,112學年度,本年度,113年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,非流動資產合計,"4,616,630",資產,111學年度,前一年度,112年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,資產總計,"13,476,093",資產,112學年度,本年度,113年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,資產總計,"11,149,432",資產,111學年度,前一年度,112年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,應付票據,"170,448",負債及淨值,112學年度,本年度,113年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,應付票據,"394,942",負債及淨值,111學年度,前一年度,112年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,應付帳款,"34,840",負債及淨值,112學年度,本年度,113年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,應付帳款,"574,901",負債及淨值,111學年度,前一年度,112年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,其他應付款,"946,357",負債及淨值,112學年度,本年度,113年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,其他應付款,"759,925",負債及淨值,111學年度,前一年度,112年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,預收款項,"2,400,701",負債及淨值,112學年度,本年度,113年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,預收款項,"2,164,292",負債及淨值,111學年度,前一年度,112年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,其他流動負債,48,負債及淨值,112學年度,本年度,113年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,其他流動負債,,負債及淨值,111學年度,前一年度,112年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,流動負債合計,"3,552,394",負債及淨值,112學年度,本年度,113年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,流動負債合計,"3,894,060",負債及淨值,111學年度,前一年度,112年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,資遣費準備,"374,643",負債及淨值,112學年度,本年度,113年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,資遣費準備,"326,901",負債及淨值,111學年度,前一年度,112年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,業務發展準備,"5,929,501",負債及淨值,112學年度,本年度,113年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,業務發展準備,"3,536,501",負債及淨值,111學年度,前一年度,112年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,應付代管財產,"112,760",負債及淨值,112學年度,本年度,113年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,應付代管財產,"187,464",負債及淨值,111學年度,前一年度,112年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,應付購置財產,"610,119",負債及淨值,112學年度,本年度,113年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,應付購置財產,"558,564",負債及淨值,111學年度,前一年度,112年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,非流動負債合計,"7,027,023",負債及淨值,112學年度,本年度,113年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,非流動負債合計,"4,609,430",負債及淨值,111學年度,前一年度,112年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,負債總額,"10,579,417",負債及淨值,112學年度,本年度,113年7月31日
N03龍埔成長_112學年度財務報告.pdf,5,負債總額,"8,503,490",負債及淨值,111學年度,前一年度,112年7月31日
