檔案名稱,項目,111學年度金額,110學年度金額
N10大觀_111學年度財務報告.pdf,營業活動之現金流量：,,
N10大觀_111學年度財務報告.pdf,本期稅前餘結,"193,966","188,742"
N10大觀_111學年度財務報告.pdf,調整項目：,,
N10大觀_111學年度財務報告.pdf,資產/負債淨變動數,,
N10大觀_111學年度財務報告.pdf,應收帳款淨額,"69,229","(69,229)"
N10大觀_111學年度財務報告.pdf,其他應收款,"(245,360)","(162,850)"
N10大觀_111學年度財務報告.pdf,應付帳款,"9,350","6,000"
N10大觀_111學年度財務報告.pdf,其他應付款,"253,354","(953,197)"
N10大觀_111學年度財務報告.pdf,預收款項,"360,879","(79,019)"
N10大觀_111學年度財務報告.pdf,其他流動負債,867,
N10大觀_111學年度財務報告.pdf,資遣費準備淨變動,,"(47,426)"
N10大觀_111學年度財務報告.pdf,營運產生之現金,"642,285","(1,116,979)"
N10大觀_111學年度財務報告.pdf,本期支付所得稅,,"(21,399)"
N10大觀_111學年度財務報告.pdf,營業活動之淨現金流入（出）,"642,285","(1,138,378)"
N10大觀_111學年度財務報告.pdf,投資活動之現金流量：,,
N10大觀_111學年度財務報告.pdf,投資活動之淨現金流入,,
N10大觀_111學年度財務報告.pdf,籌資活動之現金流量：,,
N10大觀_111學年度財務報告.pdf,籌資活動之淨現金流入,,
N10大觀_111學年度財務報告.pdf,本期現金及約當現金增加（減少）數,"642,285","(1,138,378)"
N10大觀_111學年度財務報告.pdf,期初現金及約當現金餘額,"5,235,310","6,373,688"
N10大觀_111學年度財務報告.pdf,期末現金及約當現金餘額,"5,877,595","5,235,310"
