檔案名稱,報告學年度,項目,預算數,決算數,差異數,差異率,預決算檢查結果
N10大觀_111學年度財務報告.pdf,111學年度,人事費,"$ 9,654,182","$ 8,970,981","$(683,201)",(7),未超支
N10大觀_111學年度財務報告.pdf,111學年度,人事費,"8,869,952","8,586,399","(283,553)",(3),未超支
N10大觀_111學年度財務報告.pdf,111學年度,加班費,"729,768","330,120","(399,648)",(55),未超支
N10大觀_111學年度財務報告.pdf,111學年度,資遣費,"54,462","54,462",-,,
N10大觀_111學年度財務報告.pdf,111學年度,業務費,"799,400","607,365","(192,035)",(24),未超支
N10大觀_111學年度財務報告.pdf,111學年度,活動費,"115,000","123,186","8,186",7,細項20%內勻支後，已符合勻支規定
N10大觀_111學年度財務報告.pdf,111學年度,研習、進修,"26,000","26,000",-,-,未超支
N10大觀_111學年度財務報告.pdf,111學年度,水費,"32,000","12,299","(19,701)",(62),未超支
N10大觀_111學年度財務報告.pdf,111學年度,電費,"264,000","179,196","(84,804)",(32),未超支
N10大觀_111學年度財務報告.pdf,111學年度,瓦斯費,"34,000","16,195","(17,805)",(52),未超支
N10大觀_111學年度財務報告.pdf,111學年度,保全,"60,000","60,000",-,-,
N10大觀_111學年度財務報告.pdf,111學年度,辦公文具,"24,000","19,398","(4,602)",(19),未超支
N10大觀_111學年度財務報告.pdf,111學年度,事務機器耗材,"65,000","47,755","(17,245)",(27),未超支
N10大觀_111學年度財務報告.pdf,111學年度,電話費(含網路),"54,000","39,313","(14,687)",(27),未超支
N10大觀_111學年度財務報告.pdf,111學年度,郵資,"8,400","3,480","(4,920)",(59),未超支
N10大觀_111學年度財務報告.pdf,111學年度,文宣費(一般文宣),"10,000","6,712","(3,288)",(33),未超支
N10大觀_111學年度財務報告.pdf,111學年度,文宣費(園刊),"30,000","24,130","(5,870)",(20),未超支
N10大觀_111學年度財務報告.pdf,111學年度,攝影照片,"10,000",-,"(10,000)",-,
N10大觀_111學年度財務報告.pdf,111學年度,園務特支,"42,000","49,611","7,611",18,細項20%內勻支後，已符合勻支規定
N10大觀_111學年度財務報告.pdf,111學年度,差旅費,"25,000",90,"(24,910)",(100),未超支
N10大觀_111學年度財務報告.pdf,111學年度,材料費,"1,597,420","1,596,789",(631),-,未超支
N10大觀_111學年度財務報告.pdf,111學年度,教保材料費,"254,400","215,060","(39,340)",(15),未超支
N10大觀_111學年度財務報告.pdf,111學年度,日常消耗用品,"63,600","39,086","(24,514)",(39),未超支
N10大觀_111學年度財務報告.pdf,111學年度,藥品費,"7,420","6,518",(902),(12),未超支
N10大觀_111學年度財務報告.pdf,111學年度,餐點費,"1,272,000","1,336,125","64,125",5,細項20%內勻支後，已符合勻支規定
N10大觀_111學年度財務報告.pdf,111學年度,維護費,"143,000","62,802","(80,198)",(56),未超支
N10大觀_111學年度財務報告.pdf,111學年度,修繕購置費,"148,400","145,300","(3,100)",(2),未超支
N10大觀_111學年度財務報告.pdf,111學年度,雜支,"47,964","4,422","(43,542)",(91),未超支
N10大觀_111學年度財務報告.pdf,111學年度,行政管理費,"239,682","239,682",-,-,未超支
N10大觀_111學年度財務報告.pdf,111學年度,合計,"$ 12,630,048","$ 11,627,341","$(1,002,707)",(8),
