檔案名稱,年度,年度類別,檢查項目,左方,右方,結果
N10大觀_113學年度財務報告.pdf,113學年度,本年度,流動資產合計+非流動資產合計=資產總計,14199205,14199205,通過
N10大觀_113學年度財務報告.pdf,112學年度,前一年度,流動資產合計+非流動資產合計=資產總計,13229540,13229540,通過
N10大觀_113學年度財務報告.pdf,113學年度,本年度,流動負債合計+非流動負債合計=負債總額,12937447,12937447,通過
N10大觀_113學年度財務報告.pdf,113學年度,本年度,累積餘絀+本期餘絀=餘絀總額,1261758,1261758,通過
N10大觀_113學年度財務報告.pdf,113學年度,本年度,負債總額+餘絀總額=負債及餘絀總計,14199205,14199205,通過
N10大觀_113學年度財務報告.pdf,112學年度,前一年度,流動負債合計+非流動負債合計=負債總額,11444415,11444415,通過
N10大觀_113學年度財務報告.pdf,112學年度,前一年度,累積餘絀+本期餘絀=餘絀總額,1785125,1785125,通過
N10大觀_113學年度財務報告.pdf,112學年度,前一年度,負債總額+餘絀總額=負債及餘絀總計,13229540,13229540,通過
