檔案名稱,報告學年度,項目,預算數,決算數,差異數,差異率,預決算檢查結果
N10大觀_113學年度財務報告.pdf,113學年度,教保費收入,,,,,
N10大觀_113學年度財務報告.pdf,113學年度,教保費收入減項,,,,,
N10大觀_113學年度財務報告.pdf,113學年度,教保費收入淨額,,,,,
N10大觀_113學年度財務報告.pdf,113學年度,營運成本,,,,,
N10大觀_113學年度財務報告.pdf,113學年度,教保費收支淨額,,,,,
N10大觀_113學年度財務報告.pdf,113學年度,業務發展費,,,,,
N10大觀_113學年度財務報告.pdf,113學年度,延長照顧服務收支淨額,,,,,
N10大觀_113學年度財務報告.pdf,113學年度,利息收入,,,,,
N10大觀_113學年度財務報告.pdf,113學年度,其他收支淨額,,,,,
N10大觀_113學年度財務報告.pdf,113學年度,本期稅前餘絀,,,,,
N10大觀_113學年度財務報告.pdf,113學年度,所得稅費用,,,,,
N10大觀_113學年度財務報告.pdf,113學年度,本期稅後餘絀,,,,,
N10大觀_113學年度財務報告.pdf,113學年度,核准招收人數,,,,,
N10大觀_113學年度財務報告.pdf,113學年度,營運月數,,,,,
N10大觀_113學年度財務報告.pdf,113學年度,全期核准招生人數,,,,,
N10大觀_113學年度財務報告.pdf,113學年度,全期招生人數,,,,,
N10大觀_113學年度財務報告.pdf,113學年度,招收比率,,,,,
N10大觀_113學年度財務報告.pdf,113學年度,教保費收支預算差額,,,,,
N10大觀_113學年度財務報告.pdf,113學年度,教保費收入預決算差異金額,,,,,
N10大觀_113學年度財務報告.pdf,113學年度,營運支出預決算差異金額,,,,,
N10大觀_113學年度財務報告.pdf,113學年度,合 計,,,,,
