檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N10大觀_113學年度財務報告.pdf,6,113學年度,教保費收入,"$ 13,254,220",113
N10大觀_113學年度財務報告.pdf,6,113學年度,教保費收入減項,"(36,111)",113
N10大觀_113學年度財務報告.pdf,6,113學年度,延長照顧服務收入淨額,"180,695",113
N10大觀_113學年度財務報告.pdf,6,113學年度,利息收入,"101,241",113
N10大觀_113學年度財務報告.pdf,6,113學年度,其他收入,"4,052,931",113
N10大觀_113學年度財務報告.pdf,6,113學年度,收入合計,"17,552,976",113
N10大觀_113學年度財務報告.pdf,6,113學年度,人事費,"9,314,356",113
N10大觀_113學年度財務報告.pdf,6,113學年度,業務費,"610,060",113
N10大觀_113學年度財務報告.pdf,6,113學年度,材料費,"1,664,885",113
N10大觀_113學年度財務報告.pdf,6,113學年度,維護費,"111,706",113
N10大觀_113學年度財務報告.pdf,6,113學年度,修繕購置費,"162,717",113
N10大觀_113學年度財務報告.pdf,6,113學年度,雜支,"14,453",113
N10大觀_113學年度財務報告.pdf,6,113學年度,行政管理費,"254,640",113
N10大觀_113學年度財務報告.pdf,6,113學年度,業務發展費,"1,709,900",113
N10大觀_113學年度財務報告.pdf,6,113學年度,延長照顧服務支出,"180,695",113
N10大觀_113學年度財務報告.pdf,6,113學年度,其他支出,"4,052,931",113
N10大觀_113學年度財務報告.pdf,6,113學年度,支出合計,"18,076,343",113
N10大觀_113學年度財務報告.pdf,6,113學年度,本期稅前餘絀,"(523,367)",113
N10大觀_113學年度財務報告.pdf,6,113學年度,所得稅費用,-,113
N10大觀_113學年度財務報告.pdf,6,113學年度,本期稅後餘絀,"$(523,367)",113
