檔案名稱,項目,112學年度金額,111學年度金額
N02山北_112學年度財務報告.pdf,營業活動之現金流量：,,
N02山北_112學年度財務報告.pdf,本期稅前餘絀,"$(348,840)","$ 413,861"
N02山北_112學年度財務報告.pdf,調整項目：,,
N02山北_112學年度財務報告.pdf,資產／負債淨變動數,,
N02山北_112學年度財務報告.pdf,應收帳款淨額,"(16,681)","(2,451)"
N02山北_112學年度財務報告.pdf,其他應收款,"198,144","(34,344)"
N02山北_112學年度財務報告.pdf,預付款項,"35,257","(34,457)"
N02山北_112學年度財務報告.pdf,其他流動資產,(9),281
N02山北_112學年度財務報告.pdf,應付票據,-,"(1,299)"
N02山北_112學年度財務報告.pdf,應付帳款,102,"4,860"
N02山北_112學年度財務報告.pdf,其他應付款,"45,591","106,471"
N02山北_112學年度財務報告.pdf,預收款項,"359,954","640,838"
N02山北_112學年度財務報告.pdf,其他流動負債,(35),90
N02山北_112學年度財務報告.pdf,營業活動之淨現金流入,"273,483","1,093,850"
N02山北_112學年度財務報告.pdf,投資活動之現金流量：,,
N02山北_112學年度財務報告.pdf,投資活動之淨現金流入,-,-
N02山北_112學年度財務報告.pdf,籌資活動之現金流量：,,
N02山北_112學年度財務報告.pdf,籌資活動之淨現金流入,-,-
N02山北_112學年度財務報告.pdf,本期現金及約當現金增加數,"273,483","1,093,850"
N02山北_112學年度財務報告.pdf,期初現金及約當現金餘額,"5,870,141","4,776,291"
N02山北_112學年度財務報告.pdf,期末現金及約當現金餘額,"$ 6,143,624","$ 5,870,141"
