檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N02山北_112學年度財務報告.pdf,6,112學年度,教保費收入,"12,764,928",112
N02山北_112學年度財務報告.pdf,6,112學年度,教保費收入減項,"(73,967)",112
N02山北_112學年度財務報告.pdf,6,112學年度,延長照顧服務收入淨額,"155,084",112
N02山北_112學年度財務報告.pdf,6,112學年度,利息收入,"68,971",112
N02山北_112學年度財務報告.pdf,6,112學年度,其他收入,"935,839",112
N02山北_112學年度財務報告.pdf,6,112學年度,收入合計,"13,850,855",112
N02山北_112學年度財務報告.pdf,6,112學年度,人事費,"9,157,815",112
N02山北_112學年度財務報告.pdf,6,112學年度,業務費,"463,878",112
N02山北_112學年度財務報告.pdf,6,112學年度,材料費,"1,219,134",112
N02山北_112學年度財務報告.pdf,6,112學年度,維護費,"81,966",112
N02山北_112學年度財務報告.pdf,6,112學年度,修繕購置費,"107,677",112
N02山北_112學年度財務報告.pdf,6,112學年度,公共事務管理費,"20,538",112
N02山北_112學年度財務報告.pdf,6,112學年度,雜支,"6,095",112
N02山北_112學年度財務報告.pdf,6,112學年度,行政管理費,"229,600",112
N02山北_112學年度財務報告.pdf,6,112學年度,業務發展費,"1,833,375",112
N02山北_112學年度財務報告.pdf,6,112學年度,延長照顧服務支出,"143,778",112
N02山北_112學年度財務報告.pdf,6,112學年度,其他支出,"935,839",112
N02山北_112學年度財務報告.pdf,6,112學年度,支出合計,"14,199,695",112
N02山北_112學年度財務報告.pdf,6,112學年度,本期稅前餘絀,"(348,840)",112
N02山北_112學年度財務報告.pdf,6,112學年度,所得稅費用,-,112
N02山北_112學年度財務報告.pdf,6,112學年度,本期稅後餘絀,"$(348,840)",112
