檔案名稱,項目,113學年度預算數,113學年度決算數,113學年度決算與預算差異,113學年度執行率,112學年度預算數,112學年度決算數,112學年度決算與預算差異,112學年度執行率
N01安溪_113學年度財務報告.pdf,園舍消毒、清潔,"25,000","10,572","(14,428)",42,"25,000","16,228","(8,772)",65
N01安溪_113學年度財務報告.pdf,火險,"8,000",653,"(7,347)",8,"8,000",653,"(7,347)",8
N01安溪_113學年度財務報告.pdf,修繕購置費,"168,000","128,643","(39,357)",77,"190,400","28,074","(162,326)",15
N01安溪_113學年度財務報告.pdf,雜支,"48,564","20,662","(27,902)",43,"53,004","18,950","(34,054)",36
N01安溪_113學年度財務報告.pdf,行政管理費,"290,580","290,580",,100,"325,932","325,932",,100
N01安溪_113學年度財務報告.pdf,業務發展費,,"5,420,000","5,420,000",,,"2,388,000","2,388,000",
N01安溪_113學年度財務報告.pdf,延長照顧服務支出,,"162,217","162,217",,,"176,808","176,808",
N01安溪_113學年度財務報告.pdf,其他支出,,"1,765,262","1,765,262",,,"1,344,392","1,344,392",
N01安溪_113學年度財務報告.pdf,呆帳損失,,,,,,"1,828","1,828",
N01安溪_113學年度財務報告.pdf,本期稅前餘絀,"968,205","(1,988,771)","(2,956,976)",(205),"430,120","250,799","(179,321)",58
N01安溪_113學年度財務報告.pdf,所得稅費用,,,,,,,,
N01安溪_113學年度財務報告.pdf,本期稅後餘絀,"$ 968,205","$(1,988,771)","$(2,956,976)",(205),"$ 430,120","$ 250,799","$(179,321)",58
