檔案名稱,項目,113學年度金額,112學年度金額
N07北大_113學年度財務報告.pdf,營業活動之現金流量：,,
N07北大_113學年度財務報告.pdf,本期稅前餘絀,"$ 3,735,780","$(51,846)"
N07北大_113學年度財務報告.pdf,調整項目：,,
N07北大_113學年度財務報告.pdf,資產／負債淨變動數,,
N07北大_113學年度財務報告.pdf,應收帳款淨額,"(11,360)","33,069"
N07北大_113學年度財務報告.pdf,其他應收款,"(228,426)","(3,102)"
N07北大_113學年度財務報告.pdf,預付款項,"11,126","31,794"
N07北大_113學年度財務報告.pdf,應付帳款,"18,326",-
N07北大_113學年度財務報告.pdf,其他應付款,"2,256,779","47,993"
N07北大_113學年度財務報告.pdf,預收款項,"(4,846,095)","429,220"
N07北大_113學年度財務報告.pdf,其他流動負債,"(1,946)","14,810"
N07北大_113學年度財務報告.pdf,營業活動之淨現金流入,"934,033","501,938"
N07北大_113學年度財務報告.pdf,投資活動之現金流量：,,
N07北大_113學年度財務報告.pdf,投資活動之淨現金流入,-,-
N07北大_113學年度財務報告.pdf,籌資活動之現金流量：,,
N07北大_113學年度財務報告.pdf,籌資活動之淨現金流入,-,-
N07北大_113學年度財務報告.pdf,本期現金及約當現金增加數,"934,033","501,938"
N07北大_113學年度財務報告.pdf,期初現金及約當現金餘額,"9,280,051","8,778,113"
N07北大_113學年度財務報告.pdf,期末現金及約當現金餘額,"$ 10,214,084","$ 9,280,051"
