檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N07北大_113學年度財務報告.pdf,6,113學年度,教保費收入,"19,063,795",113
N07北大_113學年度財務報告.pdf,6,113學年度,教保費收入減項,"(135,318)",113
N07北大_113學年度財務報告.pdf,6,113學年度,延長照顧服務收入淨額,"337,990",113
N07北大_113學年度財務報告.pdf,6,113學年度,利息收入,"197,821",113
N07北大_113學年度財務報告.pdf,6,113學年度,其他收入,"2,652,139",113
N07北大_113學年度財務報告.pdf,6,113學年度,其他收入-其它,"7,029,239",113
N07北大_113學年度財務報告.pdf,6,113學年度,收入合計,"29,145,666",113
N07北大_113學年度財務報告.pdf,6,113學年度,人事費,"17,915,419",113
N07北大_113學年度財務報告.pdf,6,113學年度,業務費,"596,627",113
N07北大_113學年度財務報告.pdf,6,113學年度,材料費,"2,067,204",113
N07北大_113學年度財務報告.pdf,6,113學年度,維護費,"129,310",113
N07北大_113學年度財務報告.pdf,6,113學年度,修繕購置費,"172,003",113
N07北大_113學年度財務報告.pdf,6,113學年度,雜支,"13,402",113
N07北大_113學年度財務報告.pdf,6,113學年度,行政管理費,"355,553",113
N07北大_113學年度財務報告.pdf,6,113學年度,業務發展費,"1,170,239",113
N07北大_113學年度財務報告.pdf,6,113學年度,延長照顧服務支出,"337,990",113
N07北大_113學年度財務報告.pdf,6,113學年度,其他支出,"2,652,139",113
N07北大_113學年度財務報告.pdf,6,113學年度,支出合計,"25,409,886",113
N07北大_113學年度財務報告.pdf,6,113學年度,本期稅前餘絀,"3,735,780",113
N07北大_113學年度財務報告.pdf,6,113學年度,所得稅費用,"1,109,813",113
N07北大_113學年度財務報告.pdf,6,113學年度,本期稅後餘絀,"2,625,967",113
