檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N10大觀_110學年度財務報告.pdf,7,109學年度,教保費收入,"$ 11,887,312",109
N10大觀_110學年度財務報告.pdf,7,109學年度,教保費收入減項,"(1,847,247)",109
N10大觀_110學年度財務報告.pdf,7,109學年度,延後托育收入淨額,"394,110",109
N10大觀_110學年度財務報告.pdf,7,109學年度,利息收入,"1,431",109
N10大觀_110學年度財務報告.pdf,7,109學年度,其他收入,"1,178,639",109
N10大觀_110學年度財務報告.pdf,7,109學年度,收入合計,"11,614,245",109
N10大觀_110學年度財務報告.pdf,7,109學年度,人事費,"7,297,681",109
N10大觀_110學年度財務報告.pdf,7,109學年度,業務費,"536,715",109
N10大觀_110學年度財務報告.pdf,7,109學年度,材料費,"1,324,734",109
N10大觀_110學年度財務報告.pdf,7,109學年度,維護費,"41,208",109
N10大觀_110學年度財務報告.pdf,7,109學年度,修繕購置費,"90,369",109
N10大觀_110學年度財務報告.pdf,7,109學年度,雜支,"32,254",109
N10大觀_110學年度財務報告.pdf,7,109學年度,行政管理費,"84,736",109
N10大觀_110學年度財務報告.pdf,7,109學年度,業務發展費,"800,000",109
N10大觀_110學年度財務報告.pdf,7,109學年度,延後托育支出,"385,711",109
N10大觀_110學年度財務報告.pdf,7,109學年度,其他支出,"1,178,639",109
N10大觀_110學年度財務報告.pdf,7,109學年度,支出合計,"11,772,047",109
N10大觀_110學年度財務報告.pdf,7,109學年度,本期稅前餘絀,"(157,802)",109
N10大觀_110學年度財務報告.pdf,7,109學年度,所得稅費用,-,109
N10大觀_110學年度財務報告.pdf,7,109學年度,本期稅後餘絀,"$(157,802)",109
