檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N07北大_111學年度財務報告.pdf,6,111學年度,教保費收入,"$ 20,293,031",111
N07北大_111學年度財務報告.pdf,6,111學年度,教保費收入減項,"(209,772)",111
N07北大_111學年度財務報告.pdf,6,111學年度,延後托育收入淨額,"291,910",111
N07北大_111學年度財務報告.pdf,6,111學年度,利息收入,"67,581",111
N07北大_111學年度財務報告.pdf,6,111學年度,其他收入,"1,412,744",111
N07北大_111學年度財務報告.pdf,6,111學年度,收入合計,"21,855,494",111
N07北大_111學年度財務報告.pdf,6,111學年度,人事費,"14,516,199",111
N07北大_111學年度財務報告.pdf,6,111學年度,業務費,"588,451",111
N07北大_111學年度財務報告.pdf,6,111學年度,材料費,"2,312,942",111
N07北大_111學年度財務報告.pdf,6,111學年度,維護費,"191,755",111
N07北大_111學年度財務報告.pdf,6,111學年度,修繕購置費,"227,960",111
N07北大_111學年度財務報告.pdf,6,111學年度,雜支,"30,268",111
N07北大_111學年度財務報告.pdf,6,111學年度,行政管理費,"358,913",111
N07北大_111學年度財務報告.pdf,6,111學年度,業務發展費,"1,400,000",111
N07北大_111學年度財務報告.pdf,6,111學年度,延後托育支出,"291,910",111
N07北大_111學年度財務報告.pdf,6,111學年度,其他支出,"1,412,744",111
N07北大_111學年度財務報告.pdf,6,111學年度,呆帳損失,"1,714",111
N07北大_111學年度財務報告.pdf,6,111學年度,支出合計,"21,332,856",111
N07北大_111學年度財務報告.pdf,6,111學年度,本期稅前餘絀,"522,638",111
N07北大_111學年度財務報告.pdf,6,111學年度,所得稅費用,-,111
N07北大_111學年度財務報告.pdf,6,111學年度,本期稅後餘絀,"$ 522,638",111
