檔案名稱,年度,年度類別,檢查項目,左方,右方,結果
N07北大_111學年度財務報告.pdf,111學年度,本年度,流動資產合計+非流動資產合計=資產總計,16195719,16195719,通過
N07北大_111學年度財務報告.pdf,110學年度,前一年度,流動資產合計+非流動資產合計=資產總計,11779938,11779938,通過
N07北大_111學年度財務報告.pdf,111學年度,本年度,流動負債合計+非流動負債合計=負債總額,14020598,14020598,通過
N07北大_111學年度財務報告.pdf,111學年度,本年度,累積餘絀+本期餘絀=餘絀總額,2175121,2175121,通過
N07北大_111學年度財務報告.pdf,111學年度,本年度,負債總額+餘絀總額=負債及餘絀總計,16195719,16195719,通過
N07北大_111學年度財務報告.pdf,110學年度,前一年度,流動負債合計+非流動負債合計=負債總額,10127455,10127455,通過
N07北大_111學年度財務報告.pdf,110學年度,前一年度,累積餘絀+本期餘絀=餘絀總額,1652483,1652483,通過
N07北大_111學年度財務報告.pdf,110學年度,前一年度,負債總額+餘絀總額=負債及餘絀總計,11779938,11779938,通過
