檔案名稱,項目,111學年度金額,110學年度金額
N07北大_111學年度財務報告.pdf,營業活動之現金流量：,,
N07北大_111學年度財務報告.pdf,本期稅前餘絀,"$ 522,638","$ 1,523,006"
N07北大_111學年度財務報告.pdf,調整項目：,,
N07北大_111學年度財務報告.pdf,資產/負債淨變動數,,
N07北大_111學年度財務報告.pdf,應收帳款淨額,"(108,139)","(2,351)"
N07北大_111學年度財務報告.pdf,其他應收款,"12,328","315,175"
N07北大_111學年度財務報告.pdf,預付款項,"(33,990)","58,795"
N07北大_111學年度財務報告.pdf,其他應付款,"579,819","71,141"
N07北大_111學年度財務報告.pdf,預收款項,"1,752,425","225,000"
N07北大_111學年度財務報告.pdf,其他流動負債,"16,698","10,040"
N07北大_111學年度財務報告.pdf,營業活動之淨現金流入,"2,741,779","2,200,806"
N07北大_111學年度財務報告.pdf,投資活動之現金流量：,,
N07北大_111學年度財務報告.pdf,投資活動之淨現金流入,-,-
N07北大_111學年度財務報告.pdf,籌資活動之現金流量：,,
N07北大_111學年度財務報告.pdf,籌資活動之淨現金流入,-,-
N07北大_111學年度財務報告.pdf,本期現金及約當現金增加數,"2,741,779","2,200,806"
N07北大_111學年度財務報告.pdf,期初現金及約當現金餘額,"6,036,334","3,835,528"
N07北大_111學年度財務報告.pdf,期末現金及約當現金餘額,"$ 8,778,113","$ 6,036,334"
