檔案名稱,報告學年度,項目,預算數,決算數,差異數,差異率,預決算檢查結果
N01安溪_111學年度財務報告.pdf,111學年度,收入,"$16,803,187","$17,393,407","$590,220",104,
N01安溪_111學年度財務報告.pdf,111學年度,教保費收入淨額,"16,803,187","16,227,807","(575,380)",97,
N01安溪_111學年度財務報告.pdf,111學年度,教保費收入,"16,803,187","16,337,854","(465,333)",97,
N01安溪_111學年度財務報告.pdf,111學年度,教保費收入（家長繳費）,"3,264,000","2,152,116","(1,111,884)",66,
N01安溪_111學年度財務報告.pdf,111學年度,教保費收入（政府學費差額補助）,"13,539,187","14,185,738","646,551",105,
N01安溪_111學年度財務報告.pdf,111學年度,教保費收入減項,,"(110,047)","(110,047)",,
N01安溪_111學年度財務報告.pdf,111學年度,五日未上課退費,,"(67,461)","(67,461)",,
N01安溪_111學年度財務報告.pdf,111學年度,轉學/轉出退費,,"(24,075)","(24,075)",,
N01安溪_111學年度財務報告.pdf,111學年度,政府學費差額補助退費,,"(18,511)","(18,511)",,
N01安溪_111學年度財務報告.pdf,111學年度,延後托育收入淨額,,"294,043","294,043",,
N01安溪_111學年度財務報告.pdf,111學年度,延後托育收入淨額,,"294,043","294,043",,
N01安溪_111學年度財務報告.pdf,111學年度,延後托育收入,,"300,939","300,939",,
N01安溪_111學年度財務報告.pdf,111學年度,延後托育收入退費,,"(6,896)","(6,896)",,
N01安溪_111學年度財務報告.pdf,111學年度,利息收入,,"69,934","69,934",,
N01安溪_111學年度財務報告.pdf,111學年度,其他收入,,"801,623","801,623",,
N01安溪_111學年度財務報告.pdf,111學年度,支出,"16,803,187","16,743,535","(59,652)",100,
N01安溪_111學年度財務報告.pdf,111學年度,人事費,"13,190,571","11,539,967","(1,650,604)",87,
N01安溪_111學年度財務報告.pdf,111學年度,園長及教保服務人員薪資(含職務加給),"6,802,112","6,542,351","(259,761)",96,
N01安溪_111學年度財務報告.pdf,111學年度,學前特教師、社工人員、護理人員薪資,"637,700","637,700",-,100,
N01安溪_111學年度財務報告.pdf,111學年度,會計、總務、廚工、清潔薪資,"2,585,737","2,391,674","(194,063)",92,
N01安溪_111學年度財務報告.pdf,111學年度,加班費,"995,112","105,124","(889,988)",11,
N01安溪_111學年度財務報告.pdf,111學年度,勞、健保費,"1,261,398","1,108,610","(152,788)",88,
N01安溪_111學年度財務報告.pdf,111學年度,保險費,"18,000","17,658",(342),98,
N01安溪_111學年度財務報告.pdf,111學年度,勞退金提撥,"534,684","527,200","(7,484)",99,
N01安溪_111學年度財務報告.pdf,111學年度,自強活動,"18,000","18,000",-,100,
N01安溪_111學年度財務報告.pdf,111學年度,健康檢查,"18,000","3,000","(15,000)",17,
N01安溪_111學年度財務報告.pdf,111學年度,代課費及廚工代班費,"245,565","114,387","(131,178)",47,
