檔案名稱,項目,111學年度金額,110學年度金額
N01安溪_111學年度財務報告.pdf,營業活動之現金流量：,,
N01安溪_111學年度財務報告.pdf,本期稅前餘絀,"649,872","218,557"
N01安溪_111學年度財務報告.pdf,調整項目：,,
N01安溪_111學年度財務報告.pdf,資產/負債淨變動數,,
N01安溪_111學年度財務報告.pdf,應收帳款淨額,"(51,242)","36,720"
N01安溪_111學年度財務報告.pdf,其他應收款,,456
N01安溪_111學年度財務報告.pdf,預付款項,"184,567","(95,007)"
N01安溪_111學年度財務報告.pdf,其他流動資產,"(10,225)","(2,716)"
N01安溪_111學年度財務報告.pdf,應付票據,766,"17,087"
N01安溪_111學年度財務報告.pdf,其他應付款,"526,555","(160,097)"
N01安溪_111學年度財務報告.pdf,預收款項,"1,720,106","440,750"
N01安溪_111學年度財務報告.pdf,營業活動之淨現金流入,"3,020,399","455,750"
N01安溪_111學年度財務報告.pdf,投資活動之現金流量：,,
N01安溪_111學年度財務報告.pdf,投資活動之淨現金流入,,
N01安溪_111學年度財務報告.pdf,籌資活動之現金流量：,,
N01安溪_111學年度財務報告.pdf,籌資活動之淨現金流入,,
N01安溪_111學年度財務報告.pdf,本期現金及約當現金增加數,"3,020,399","455,750"
N01安溪_111學年度財務報告.pdf,期初現金及約當現金餘額,"5,803,751","5,348,001"
N01安溪_111學年度財務報告.pdf,期末現金及約當現金餘額,"8,824,150","5,803,751"
