檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N01安溪_111學年度財務報告.pdf,6,111學年度,教保費收入,"16,337,854",111
N01安溪_111學年度財務報告.pdf,6,111學年度,教保費收入減項,"(110,047)",111
N01安溪_111學年度財務報告.pdf,6,111學年度,延後托育收入淨額,"294,043",111
N01安溪_111學年度財務報告.pdf,6,111學年度,利息收入,"69,934",111
N01安溪_111學年度財務報告.pdf,6,111學年度,其他收入,"801,623",111
N01安溪_111學年度財務報告.pdf,6,111學年度,收入合計,"17,393,407",111
N01安溪_111學年度財務報告.pdf,6,111學年度,人事費,"11,539,967",111
N01安溪_111學年度財務報告.pdf,6,111學年度,業務費,"401,715",111
N01安溪_111學年度財務報告.pdf,6,111學年度,材料費,"2,084,531",111
N01安溪_111學年度財務報告.pdf,6,111學年度,維護費,"40,666",111
N01安溪_111學年度財務報告.pdf,6,111學年度,修繕購置費,"58,005",111
N01安溪_111學年度財務報告.pdf,6,111學年度,雜支,"21,679",111
N01安溪_111學年度財務報告.pdf,6,111學年度,行政管理費,"293,292",111
N01安溪_111學年度財務報告.pdf,6,111學年度,業務發展費,"1,300,000",111
N01安溪_111學年度財務報告.pdf,6,111學年度,延後托育支出,"202,057",111
N01安溪_111學年度財務報告.pdf,6,111學年度,其他支出,"801,623",111
N01安溪_111學年度財務報告.pdf,6,111學年度,支出合計,"16,743,535",111
N01安溪_111學年度財務報告.pdf,6,111學年度,本期稅前餘絀,"649,872",111
N01安溪_111學年度財務報告.pdf,6,111學年度,所得稅費用,-,111
N01安溪_111學年度財務報告.pdf,6,111學年度,本期稅後餘絀,"649,872",111
