檔案名稱,報告學年度,章節,內容
N01安溪_111學年度財務報告.pdf,111學年度,關係人交易,
N01安溪_111學年度財務報告.pdf,111學年度,質抵押資產,無。
N01安溪_111學年度財務報告.pdf,111學年度,重大承諾事項及或有事項,新北市政府與安溪幼兒園母機構社團法人桃園市教保服務人員協會，簽訂委託辦理「安溪非營利幼兒園」契約書，委託年限原自 108 年 8 月 1 日至 112 年 7 月 31 日，因配合政府政策辦理增班，重新簽訂 111 年 8 月 1 日至 112 年 7 月 31 日契約書，依據契約書第 18 條規定，母機構應於本契約屆滿 8 個月前向新北市政府提出續辦意願，有續辦意願者，應提具後續 4 學年之經營計畫書，申請繼續辦理，經新北市政府同意後繼續辦理。本幼兒園已提出延長 4 學年之經營計畫書，新約正與新北市政府研訂中。
