園代碼,園名,學年度,資料表,指標,資料類別,數值,前一年數值,YoY變化額,YoY變化率,歷史均值,歷史標準差,移動平均_近3年,Zscore
N01,安溪,113,收支餘絀表,支出合計,收支,22144749.0,18744221.0,3400528.0,0.1814174085975619,15795020.0,5067880.795793741,19210835.0,1.252935744911398
N01,安溪,109,收支餘絀表,收入合計,收支,10061074.0,,,,10061074.0,,10061074.0,
N01,安溪,110,收支餘絀表,收入合計,收支,11284869.0,10061074.0,1223795.0,0.12163661652821557,10672971.5,865353.7432821909,10672971.5,0.7071067811865476
N01,安溪,111,收支餘絀表,收入合計,收支,17393407.0,11284869.0,6108538.0,0.5413034036992366,12913116.666666666,3927998.1738445777,12913116.666666666,1.1406039756246102
N01,安溪,112,收支餘絀表,收入合計,收支,18995020.0,17393407.0,1601613.0,0.09208161460259051,14433592.5,4419671.949532794,15891098.666666666,1.0320737720097508
N01,安溪,113,收支餘絀表,收入合計,收支,20155978.0,18995020.0,1160958.0,0.06111907226209817,15578069.6,4604265.8772313865,18848135.0,0.994275422416041
N01,安溪,109,收支餘絀表,教保費收入,收支,10346071.0,,,,10346071.0,,10346071.0,
N01,安溪,110,收支餘絀表,教保費收入,收支,10069260.0,10346071.0,-276811.0,-0.02675518078312047,10207665.5,195734.9352070294,10207665.5,-0.7071067811865476
N01,安溪,111,收支餘絀表,教保費收入,收支,16337854.0,10069260.0,6268594.0,0.6225476350794398,12251061.666666666,3541971.1693172115,12251061.666666666,1.153818633176833
N01,安溪,112,收支餘絀表,教保費收入,收支,17324859.0,16337854.0,987005.0,0.0604121569454593,13519511.0,3847019.801671332,14577324.333333334,0.989167770424985
N01,安溪,113,收支餘絀表,教保費收入,收支,17990000.0,17324859.0,665141.0,0.038392289368704244,14413608.8,3885450.475255437,17217571.0,0.9204572861695992
N01,安溪,109,收支餘絀表,教保費收入減項,收支,-928865.0,,,,-928865.0,,-928865.0,
N01,安溪,110,收支餘絀表,教保費收入減項,收支,-76932.0,-928865.0,851933.0,0.9171763388651741,-502898.5,602407.601416599,-502898.5,0.7071067811865475
N01,安溪,111,收支餘絀表,教保費收入減項,收支,-110047.0,-76932.0,-33115.0,-0.43044506837206886,-371948.0,482588.3955017982,-371948.0,0.5427005755653819
N01,安溪,112,收支餘絀表,教保費收入減項,收支,-94176.0,-110047.0,15871.0,0.14422019682499296,-302505.0,417792.24579289,-93718.33333333333,0.4986425719908498
N01,安溪,113,收支餘絀表,教保費收入減項,收支,-68050.0,-94176.0,26126.0,0.2774167516139993,-255614.0,376704.9241627988,-90757.66666666667,0.49790695042505295
