園代碼,園名,學年度,指標,數值,資料類別
N08,鷺江,111,員工人數,13.0,營運
N08,鷺江,111,學生人數,105.0,營運
N08,鷺江,111,實際招收人數,105.0,營運
N08,鷺江,111,教保人員數,10.0,營運
N08,鷺江,111,核定招收人數,106.0,營運
N08,鷺江,112,員工人數,13.0,營運
N08,鷺江,112,學生人數,106.0,營運
N08,鷺江,112,實際招收人數,106.0,營運
N08,鷺江,112,教保人員數,10.0,營運
N08,鷺江,112,核定招收人數,,營運
N08,鷺江,113,員工人數,13.0,營運
N08,鷺江,113,學生人數,96.0,營運
N08,鷺江,113,實際招收人數,96.0,營運
N08,鷺江,113,教保人員數,10.0,營運
N08,鷺江,113,核定招收人數,100.0,營運
N09,安興,110,員工人數,8.0,營運
N09,安興,110,學生人數,,營運
N09,安興,110,實際招收人數,,營運
N09,安興,110,教保人員數,5.0,營運
N09,安興,110,核定招收人數,60.0,營運
N09,安興,111,員工人數,7.0,營運
N09,安興,111,學生人數,,營運
N09,安興,111,實際招收人數,,營運
N09,安興,111,教保人員數,4.0,營運
N09,安興,111,核定招收人數,,營運
N09,安興,112,員工人數,8.0,營運
N09,安興,112,學生人數,57.0,營運
N09,安興,112,實際招收人數,57.0,營運
N09,安興,112,教保人員數,5.0,營運
N09,安興,112,核定招收人數,60.0,營運
N09,安興,113,員工人數,8.0,營運
N09,安興,113,學生人數,45.0,營運
N09,安興,113,實際招收人數,45.0,營運
N09,安興,113,教保人員數,5.0,營運
N09,安興,113,核定招收人數,52.0,營運
N10,大觀,110,員工人數,13.0,營運
N10,大觀,110,學生人數,103.0,營運
N10,大觀,110,實際招收人數,103.0,營運
N10,大觀,110,教保人員數,10.0,營運
N10,大觀,110,核定招收人數,106.0,營運
N10,大觀,111,員工人數,13.0,營運
N10,大觀,111,學生人數,105.0,營運
N10,大觀,111,實際招收人數,105.0,營運
N10,大觀,111,教保人員數,10.0,營運
N10,大觀,111,核定招收人數,106.0,營運
N10,大觀,112,員工人數,13.0,營運
N10,大觀,112,學生人數,106.0,營運
N10,大觀,112,實際招收人數,106.0,營運
N10,大觀,112,教保人員數,10.0,營運
N10,大觀,112,核定招收人數,,營運
N10,大觀,113,員工人數,13.0,營運
N10,大觀,113,學生人數,99.0,營運
N10,大觀,113,實際招收人數,99.0,營運
N10,大觀,113,教保人員數,10.0,營運
N10,大觀,113,核定招收人數,100.0,營運
