園代碼,園名,學年度,資料表,指標,數值,資料類別
N01,安溪,113,收支餘絀表,雜支,20662.0,收支
N01,安溪,110,現金流量表,其他應付款,-160097.0,非收支
N01,安溪,111,現金流量表,其他應付款,526555.0,非收支
N01,安溪,112,現金流量表,其他應付款,112818.0,非收支
N01,安溪,113,現金流量表,其他應付款,-137000.0,非收支
N01,安溪,110,現金流量表,其他應收款,456.0,非收支
N01,安溪,111,現金流量表,其他應收款,,非收支
N01,安溪,112,現金流量表,其他流動負債,1542.0,非收支
N01,安溪,113,現金流量表,其他流動負債,1533.0,非收支
N01,安溪,110,現金流量表,其他流動資產,-2716.0,非收支
N01,安溪,111,現金流量表,其他流動資產,-10225.0,非收支
N01,安溪,112,現金流量表,其他流動資產,35254.0,非收支
N01,安溪,113,現金流量表,其他流動資產,,非收支
N01,安溪,110,現金流量表,應付票據,17087.0,非收支
N01,安溪,111,現金流量表,應付票據,766.0,非收支
N01,安溪,112,現金流量表,應付票據,-17853.0,非收支
N01,安溪,113,現金流量表,應付票據,17684.0,非收支
N01,安溪,110,現金流量表,應收帳款淨額,36720.0,非收支
N01,安溪,111,現金流量表,應收帳款淨額,-51242.0,非收支
N01,安溪,112,現金流量表,應收帳款淨額,34121.0,非收支
N01,安溪,113,現金流量表,應收帳款淨額,-2979.0,非收支
N01,安溪,113,現金流量表,投資活動之淨現金流人,,非收支
N01,安溪,110,現金流量表,投資活動之淨現金流入,,非收支
N01,安溪,111,現金流量表,投資活動之淨現金流入,,非收支
N01,安溪,112,現金流量表,投資活動之淨現金流入,,非收支
N01,安溪,110,現金流量表,投資活動之現金流量：,,非收支
N01,安溪,111,現金流量表,投資活動之現金流量：,,非收支
N01,安溪,112,現金流量表,投資活動之現金流量：,,非收支
N01,安溪,113,現金流量表,投資活動之現金流量：,,非收支
N01,安溪,110,現金流量表,期初現金及約當現金餘額,5348001.0,非收支
N01,安溪,111,現金流量表,期初現金及約當現金餘額,5803751.0,非收支
N01,安溪,112,現金流量表,期初現金及約當現金餘額,8824150.0,非收支
N01,安溪,113,現金流量表,期初現金及約當現金餘額,9654314.0,非收支
N01,安溪,110,現金流量表,期末現金及約當現金餘額,5803751.0,非收支
N01,安溪,111,現金流量表,期末現金及約當現金餘額,8824150.0,非收支
N01,安溪,112,現金流量表,期末現金及約當現金餘額,9654314.0,非收支
N01,安溪,113,現金流量表,期末現金及約當現金餘額,8868744.0,非收支
N01,安溪,110,現金流量表,本期現金及約當現金增加數,455750.0,非收支
N01,安溪,111,現金流量表,本期現金及約當現金增加數,3020399.0,非收支
N01,安溪,112,現金流量表,本期現金及約當現金增加數,830164.0,非收支
N01,安溪,113,現金流量表,本期現金及約當現金（減少）增加數,-785570.0,非收支
N01,安溪,110,現金流量表,本期稅前餘絀,218557.0,非收支
N01,安溪,111,現金流量表,本期稅前餘絀,649872.0,非收支
N01,安溪,112,現金流量表,本期稅前餘絀,250799.0,非收支
N01,安溪,113,現金流量表,本期稅前餘絀,,非收支
N01,安溪,113,現金流量表,業務發展準備淨變動,2200000.0,非收支
N01,安溪,110,現金流量表,營業活動之淨現金流入,455750.0,非收支
N01,安溪,111,現金流量表,營業活動之淨現金流入,3020399.0,非收支
N01,安溪,112,現金流量表,營業活動之淨現金流入,830164.0,非收支
N01,安溪,113,現金流量表,營業活動之淨現金流（出）入,-785570.0,非收支
N01,安溪,110,現金流量表,營業活動之現金流量：,,非收支
N01,安溪,111,現金流量表,營業活動之現金流量：,,非收支
N01,安溪,112,現金流量表,營業活動之現金流量：,,非收支
N01,安溪,113,現金流量表,營業活動之現金流量：,,非收支
N01,安溪,113,現金流量表,籌資活動之淨現金流人,,非收支
N01,安溪,110,現金流量表,籌資活動之淨現金流入,,非收支
N01,安溪,111,現金流量表,籌資活動之淨現金流入,,非收支
N01,安溪,112,現金流量表,籌資活動之淨現金流入,,非收支
N01,安溪,110,現金流量表,籌資活動之現金流量：,,非收支
N01,安溪,111,現金流量表,籌資活動之現金流量：,,非收支
N01,安溪,112,現金流量表,籌資活動之現金流量：,,非收支
N01,安溪,113,現金流量表,籌資活動之現金流量：,,非收支
N01,安溪,110,現金流量表,調整項目：,,非收支
N01,安溪,111,現金流量表,調整項目：,,非收支
N01,安溪,112,現金流量表,調整項目：,,非收支
N01,安溪,113,現金流量表,調整項目：,,非收支
N01,安溪,111,現金流量表,資產/負債淨變動數,,非收支
N01,安溪,110,現金流量表,資產／負債淨變動數,,非收支
N01,安溪,112,現金流量表,資產／負債淨變動數,,非收支
N01,安溪,113,現金流量表,資產／負債淨變動數,,非收支
N01,安溪,110,現金流量表,預付款項,-95007.0,非收支
N01,安溪,111,現金流量表,預付款項,184567.0,非收支
N01,安溪,112,現金流量表,預付款項,4952.0,非收支
N01,安溪,113,現金流量表,預付款項,6867.0,非收支
N01,安溪,110,現金流量表,預收款項,440750.0,非收支
N01,安溪,111,現金流量表,預收款項,1720106.0,非收支
N01,安溪,112,現金流量表,預收款項,408531.0,非收支
N01,安溪,113,現金流量表,預收款項,-882904.0,非收支
N01,安溪,110,資產負債表,代管財產,1119608.0,非收支
N01,安溪,111,資產負債表,代管財產,2577702.0,非收支
N01,安溪,112,資產負債表,代管財產,3030018.0,非收支
N01,安溪,113,資產負債表,代管財產,2572979.0,非收支
N01,安溪,110,資產負債表,其他應付款,1423915.0,非收支
N01,安溪,111,資產負債表,其他應付款,1950470.0,非收支
N01,安溪,112,資產負債表,其他應付款,2063288.0,非收支
N01,安溪,113,資產負債表,其他應付款,1926288.0,非收支
N01,安溪,110,資產負債表,其他應收款,,非收支
N01,安溪,112,資產負債表,其他流動負債,1542.0,非收支
N01,安溪,113,資產負債表,其他流動負債,3075.0,非收支
N01,安溪,110,資產負債表,其他流動資產,25029.0,非收支
N01,安溪,111,資產負債表,其他流動資產,35254.0,非收支
N01,安溪,112,資產負債表,其他流動資產,,非收支
N01,安溪,110,資產負債表,存出保證金,3600.0,非收支
N01,安溪,111,資產負債表,存出保證金,3600.0,非收支
N01,安溪,112,資產負債表,存出保證金,3600.0,非收支
N01,安溪,113,資產負債表,存出保證金,3600.0,非收支
N01,安溪,110,資產負債表,應付代管財產,1119608.0,非收支
N01,安溪,111,資產負債表,應付代管財產,2577702.0,非收支
N01,安溪,112,資產負債表,應付代管財產,3030018.0,非收支
N01,安溪,113,資產負債表,應付代管財產,2572979.0,非收支
N01,安溪,110,資產負債表,應付票據,17087.0,非收支
N01,安溪,111,資產負債表,應付票據,17853.0,非收支
N01,安溪,112,資產負債表,應付票據,,非收支
N01,安溪,113,資產負債表,應付票據,17684.0,非收支
N01,安溪,110,資產負債表,應付購置財產,168381.0,非收支
N01,安溪,111,資產負債表,應付購置財產,172779.0,非收支
N01,安溪,112,資產負債表,應付購置財產,172779.0,非收支
N01,安溪,113,資產負債表,應付購置財產,170274.0,非收支
N01,安溪,110,資產負債表,應收帳款淨額,17797.0,非收支
N01,安溪,111,資產負債表,應收帳款淨額,69039.0,非收支
N01,安溪,112,資產負債表,應收帳款淨額,34918.0,非收支
N01,安溪,113,資產負債表,應收帳款淨額,37897.0,非收支
N01,安溪,110,資產負債表,本期餘絀,218557.0,非收支
N01,安溪,111,資產負債表,本期餘絀,649872.0,非收支
N01,安溪,112,資產負債表,本期餘絀,250799.0,非收支
N01,安溪,113,資產負債表,本期餘絀,-1988771.0,非收支
N01,安溪,111,資產負債表,業務發展準備,8091844.0,非收支
N01,安溪,112,資產負債表,業務發展準備,10479844.0,非收支
N01,安溪,113,資產負債表,業務發展準備,15899844.0,非收支
N01,安溪,110,資產負債表,業務發展準備備,6791844.0,非收支
N01,安溪,110,資產負債表,業務發展準備金,6791844.0,非收支
N01,安溪,111,資產負債表,業務發展準備金,8091844.0,非收支
N01,安溪,112,資產負債表,業務發展準備金,10479844.0,非收支
N01,安溪,113,資產負債表,業務發展準備金,13699844.0,非收支
N01,安溪,110,資產負債表,流動負債合計,4519817.0,非收支
N01,安溪,111,資產負債表,流動負債合計,6767244.0,非收支
N01,安溪,112,資產負債表,流動負債合計,7272282.0,非收支
N01,安溪,113,資產負債表,流動負債合計,6271595.0,非收支
N01,安溪,110,資產負債表,流動資產合計,6087164.0,非收支
N01,安溪,111,資產負債表,流動資產合計,8984463.0,非收支
N01,安溪,112,資產負債表,流動資產合計,9740300.0,非收支
N01,安溪,113,資產負債表,流動資產合計,8950842.0,非收支
N01,安溪,110,資產負債表,現金及銀行存款,5803751.0,非收支
N01,安溪,111,資產負債表,現金及銀行存款,8824150.0,非收支
N01,安溪,112,資產負債表,現金及銀行存款,9654314.0,非收支
N01,安溪,113,資產負債表,現金及銀行存款,8868744.0,非收支
N01,安溪,110,資產負債表,累積餘絀,1352390.0,非收支
N01,安溪,111,資產負債表,累積餘絀,1570947.0,非收支
N01,安溪,112,資產負債表,累積餘絀,2220819.0,非收支
N01,安溪,113,資產負債表,累積餘絀,2471618.0,非收支
N01,安溪,110,資產負債表,負債及餘絀總計,14735315.0,非收支
N01,安溪,111,資產負債表,負債及餘絀總計,20469369.0,非收支
N01,安溪,112,資產負債表,負債及餘絀總計,24140447.0,非收支
N01,安溪,113,資產負債表,負債及餘絀總計,26187977.0,非收支
N01,安溪,110,資產負債表,負債總額,13164368.0,非收支
N01,安溪,111,資產負債表,負債總額,18248550.0,非收支
N01,安溪,112,資產負債表,負債總額,21668829.0,非收支
N01,安溪,113,資產負債表,負債總額,25705130.0,非收支
N01,安溪,110,資產負債表,資產總計,14735315.0,非收支
N01,安溪,111,資產負債表,資產總計,20469369.0,非收支
N01,安溪,112,資產負債表,資產總計,24140447.0,非收支
N01,安溪,113,資產負債表,資產總計,26187977.0,非收支
N01,安溪,110,資產負債表,資遣費準備,564718.0,非收支
N01,安溪,112,資產負債表,資遣費準備,713906.0,非收支
N01,安溪,112,資產負債表,資遣費準備,713906.0,非收支
N01,安溪,113,資產負債表,資遣費準備,790438.0,非收支
N01,安溪,110,資產負債表,資遣費準備金,564718.0,非收支
N01,安溪,113,資產負債表,資遣費準備金,790438.0,非收支
N01,安溪,111,資產負債表,資遺費準備,638981.0,非收支
N01,安溪,111,資產負債表,資遺費準備金,638981.0,非收支
N01,安溪,110,資產負債表,購置財產,168381.0,非收支
N01,安溪,111,資產負債表,購置財產,172779.0,非收支
N01,安溪,112,資產負債表,購置財產,172779.0,非收支
N01,安溪,113,資產負債表,購置財產,170274.0,非收支
N01,安溪,110,資產負債表,非流動負債合計,8644551.0,非收支
N01,安溪,111,資產負債表,非流動負債合計,11481306.0,非收支
N01,安溪,112,資產負債表,非流動負債合計,14396547.0,非收支
N01,安溪,113,資產負債表,非流動負債合計,19433535.0,非收支
N01,安溪,110,資產負債表,非流動資產合計,8648151.0,非收支
N01,安溪,111,資產負債表,非流動資產合計,11484906.0,非收支
N01,安溪,112,資產負債表,非流動資產合計,14400147.0,非收支
N01,安溪,113,資產負債表,非流動資產合計,17237135.0,非收支
N01,安溪,110,資產負債表,預付款項,240587.0,非收支
N01,安溪,111,資產負債表,預付款項,56020.0,非收支
N01,安溪,112,資產負債表,預付款項,51068.0,非收支
N01,安溪,113,資產負債表,預付款項,44201.0,非收支
