檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N01安溪_112學年度財務報告.pdf,6,112學年度,教保費收入,"$ 17,324,859",112
N01安溪_112學年度財務報告.pdf,6,112學年度,教保費收入減項,"(94,176)",112
N01安溪_112學年度財務報告.pdf,6,112學年度,延長照顧服務收入淨額,"337,868",112
N01安溪_112學年度財務報告.pdf,6,112學年度,利息收入,"82,077",112
N01安溪_112學年度財務報告.pdf,6,112學年度,其他收入,"1,344,392",112
N01安溪_112學年度財務報告.pdf,6,112學年度,收入合計,"18,995,020",112
N01安溪_112學年度財務報告.pdf,6,112學年度,人事費,"11,797,585",112
N01安溪_112學年度財務報告.pdf,6,112學年度,業務費,"394,450",112
N01安溪_112學年度財務報告.pdf,6,112學年度,材料費,"2,216,621",112
N01安溪_112學年度財務報告.pdf,6,112學年度,維護費,"51,581",112
N01安溪_112學年度財務報告.pdf,6,112學年度,修繕購置費,"28,074",112
N01安溪_112學年度財務報告.pdf,6,112學年度,雜支,"18,950",112
N01安溪_112學年度財務報告.pdf,6,112學年度,行政管理費,"325,932",112
N01安溪_112學年度財務報告.pdf,6,112學年度,業務發展費,"2,388,000",112
N01安溪_112學年度財務報告.pdf,6,112學年度,延長照顧服務支出,"176,808",112
N01安溪_112學年度財務報告.pdf,6,112學年度,其他支出,"1,344,392",112
N01安溪_112學年度財務報告.pdf,6,112學年度,呆帳損失,"1,828",112
N01安溪_112學年度財務報告.pdf,6,112學年度,支出合計,"18,744,221",112
N01安溪_112學年度財務報告.pdf,6,112學年度,本期稅前餘絀,"250,799",112
N01安溪_112學年度財務報告.pdf,6,112學年度,所得稅費用,-,112
N01安溪_112學年度財務報告.pdf,6,112學年度,本期稅後餘絀,"$ 250,799",112
