檔案名稱,項目,112學年度金額,111學年度金額
N01安溪_112學年度財務報告.pdf,營業活動之現金流量：,,
N01安溪_112學年度財務報告.pdf,本期稅前餘絀,"250,799","649,872"
N01安溪_112學年度財務報告.pdf,調整項目：,,
N01安溪_112學年度財務報告.pdf,資產／負債淨變動數,,
N01安溪_112學年度財務報告.pdf,應收帳款淨額,"34,121","(51,242)"
N01安溪_112學年度財務報告.pdf,預付款項,"4,952","184,567"
N01安溪_112學年度財務報告.pdf,其他流動資產,"35,254","(10,225)"
N01安溪_112學年度財務報告.pdf,應付票據,"(17,853)",766
N01安溪_112學年度財務報告.pdf,其他應付款,"112,818","526,555"
N01安溪_112學年度財務報告.pdf,預收款項,"408,531","1,720,106"
N01安溪_112學年度財務報告.pdf,其他流動負債,"1,542",
N01安溪_112學年度財務報告.pdf,營業活動之淨現金流入,"830,164","3,020,399"
N01安溪_112學年度財務報告.pdf,投資活動之現金流量：,,
N01安溪_112學年度財務報告.pdf,投資活動之淨現金流入,,
N01安溪_112學年度財務報告.pdf,籌資活動之現金流量：,,
N01安溪_112學年度財務報告.pdf,籌資活動之淨現金流入,,
N01安溪_112學年度財務報告.pdf,本期現金及約當現金增加數,"830,164","3,020,399"
N01安溪_112學年度財務報告.pdf,期初現金及約當現金餘額,"8,824,150","5,803,751"
N01安溪_112學年度財務報告.pdf,期末現金及約當現金餘額,"9,654,314","8,824,150"
