檔案名稱,項目,113學年度預算數,113學年度決算數,113學年度決算與預算差異,113學年度執行率,112學年度預算數,112學年度決算數,112學年度決算與預算差異,112學年度執行率
N03龍埔成長_113學年度財務報告.pdf,收入,"11,732,256","12,844,402","1,112,146",109,,,,
N03龍埔成長_113學年度財務報告.pdf,教保費收入淨額,"11,732,256","11,624,870","(107,386)",99,,,,
N03龍埔成長_113學年度財務報告.pdf,教保費收入,"11,732,256","11,931,000","198,744",102,,,,
N03龍埔成長_113學年度財務報告.pdf,教保費收入（家長繳費）,"1,728,000","811,000","(917,000)",47,,,,
N03龍埔成長_113學年度財務報告.pdf,教保費收入（政府學費差額補助）,"10,004,256","11,120,000","1,115,744",111,,,,
N03龍埔成長_113學年度財務報告.pdf,教保費收入減項,,"(306,130)","(306,130)",,,,,
N03龍埔成長_113學年度財務報告.pdf,五日未上課退費,,"(30,858)","(30,858)",,,,,
N03龍埔成長_113學年度財務報告.pdf,腸病毒退費,,"(8,633)","(8,633)",,,,,
N03龍埔成長_113學年度財務報告.pdf,政府學費差額補助退費,,"(266,639)","(266,639)",,,,,
N03龍埔成長_113學年度財務報告.pdf,延長照顧服務收入淨額,,"186,132","186,132",,,,,
N03龍埔成長_113學年度財務報告.pdf,延長照顧服務收入淨額,,"186,132","186,132",,,,,
N03龍埔成長_113學年度財務報告.pdf,延長照顧服務收入,,"192,500","192,500",,,,,
N03龍埔成長_113學年度財務報告.pdf,延長照顧服務收入退費,,"(6,368)","(6,368)",,,,,
N03龍埔成長_113學年度財務報告.pdf,利息收入,,"85,197","85,197",,,,,
N03龍埔成長_113學年度財務報告.pdf,其他收入,,"948,203","948,203",,,,,
N03龍埔成長_113學年度財務報告.pdf,支出,"11,803,649","13,604,475","1,800,826",115,,,,
N03龍埔成長_113學年度財務報告.pdf,人事費,"9,548,493","8,710,840","(837,653)",91,,,,
N03龍埔成長_113學年度財務報告.pdf,園長及教保服務人員薪資（含職務加給）,"5,781,781","5,669,753","(112,028)",98,,,,
N03龍埔成長_113學年度財務報告.pdf,會計、總務、廚工、清潔薪資,"1,439,870","1,382,021","(57,849)",96,,,,
N03龍埔成長_113學年度財務報告.pdf,加班費,"716,832","346,009","(370,823)",48,,,,
N03龍埔成長_113學年度財務報告.pdf,勞、健保費,"984,364","841,858","(142,506)",86,,,,
N03龍埔成長_113學年度財務報告.pdf,保險費,"12,000","12,071",71,101,,,,
N03龍埔成長_113學年度財務報告.pdf,勞退金提撥,"385,152","390,434","5,282",101,,,,
N03龍埔成長_113學年度財務報告.pdf,自強活動,"12,000","12,000",,100,,,,
N03龍埔成長_113學年度財務報告.pdf,健康檢查,"1,000","1,400",400,140,,,,
N03龍埔成長_113學年度財務報告.pdf,代課費及代班費,"162,000","1,800","(160,200)",1,,,,
N03龍埔成長_113學年度財務報告.pdf,資遣費,"53,494","53,494",,100,,,,
N03龍埔成長_113學年度財務報告.pdf,業務費,"562,700","498,463","(64,237)",89,,,,
N03龍埔成長_113學年度財務報告.pdf,活動費,"95,000","94,200",(800),99,,,,
N03龍埔成長_113學年度財務報告.pdf,研習、進修,"24,000","23,666",(334),99,,,,
N03龍埔成長_113學年度財務報告.pdf,水費,"26,000","40,857","14,857",157,,,,
N03龍埔成長_113學年度財務報告.pdf,電費,"90,000","98,630","8,630",110,,,,
N03龍埔成長_113學年度財務報告.pdf,瓦斯費,"32,000","19,659","(12,341)",61,,,,
N03龍埔成長_113學年度財務報告.pdf,保全,"60,000","60,000",,100,,,,
N03龍埔成長_113學年度財務報告.pdf,辦公文具,"18,000","13,052","(4,948)",73,,,,
N03龍埔成長_113學年度財務報告.pdf,事務機器耗材,"60,000","56,769","(3,231)",95,,,,
N03龍埔成長_113學年度財務報告.pdf,電話費（含 ADSL）,"45,000","27,713","(17,287)",62,,,,
N03龍埔成長_113學年度財務報告.pdf,郵資,"7,200","2,326","(4,874)",32,,,,
N03龍埔成長_113學年度財務報告.pdf,文宣費（一般文宣）,"10,000","8,317","(1,683)",83,,,,
N03龍埔成長_113學年度財務報告.pdf,文宣費（園刊）,"27,500","9,722","(17,778)",35,,,,
N03龍埔成長_113學年度財務報告.pdf,攝影照片,"9,000","5,000","(4,000)",56,,,,
N03龍埔成長_113學年度財務報告.pdf,園務特支,"39,000","38,552",(448),99,,,,
N03龍埔成長_113學年度財務報告.pdf,差旅費,"20,000",,"(20,000)",,,,,
N03龍埔成長_113學年度財務報告.pdf,材料費,"1,257,840","1,183,148","(74,692)",94,,,,
N03龍埔成長_113學年度財務報告.pdf,教保材料費,"172,800","166,801","(5,999)",97,,,,
N03龍埔成長_113學年度財務報告.pdf,日常消耗用品,"43,200","42,561",(639),99,,,,
N03龍埔成長_113學年度財務報告.pdf,藥品費,"5,040","4,802",(238),95,,,,
N03龍埔成長_113學年度財務報告.pdf,餐點費,"1,036,800","968,984","(67,816)",93,,,,
N03龍埔成長_113學年度財務報告.pdf,維護費,"118,000","98,854","(19,146)",84,,,,
N03龍埔成長_113學年度財務報告.pdf,修繕費,"85,000","70,848","(14,152)",83,,,,
N03龍埔成長_113學年度財務報告.pdf,園舍消毒、清潔,"25,000","25,000",,100,,,,
N03龍埔成長_113學年度財務報告.pdf,火險,"8,000","3,006","(4,994)",38,,,,
N03龍埔成長_113學年度財務報告.pdf,修繕購置費,"100,800","91,690","(9,110)",91,,,,
N03龍埔成長_113學年度財務報告.pdf,雜支,"33,762","5,671","(28,091)",17,,,,
N03龍埔成長_113學年度財務報告.pdf,行政管理費,"182,054","182,054",,100,,,,
N03龍埔成長_113學年度財務報告.pdf,業務發展費,,"1,699,800","1,699,800",,,,,
