檔案名稱,頁碼,科目,金額,欄位,年度,年度類別,原始年度標示
N03龍埔成長_113學年度財務報告.pdf,5,現金及銀行存款,"$6,149,763",資產,113學年度,本年度,114年7月31日
N03龍埔成長_113學年度財務報告.pdf,5,現金及銀行存款,"$6,426,739",資產,112學年度,前一年度,113年7月31日
N03龍埔成長_113學年度財務報告.pdf,5,應收帳款淨額,-,資產,113學年度,本年度,114年7月31日
N03龍埔成長_113學年度財務報告.pdf,5,應收帳款淨額,"6,000",資產,112學年度,前一年度,113年7月31日
N03龍埔成長_113學年度財務報告.pdf,5,其他應收款,"8,225",資產,113學年度,本年度,114年7月31日
N03龍埔成長_113學年度財務報告.pdf,5,其他應收款,39,資產,112學年度,前一年度,113年7月31日
N03龍埔成長_113學年度財務報告.pdf,5,預付款項,"3,557",資產,113學年度,本年度,114年7月31日
N03龍埔成長_113學年度財務報告.pdf,5,預付款項,"3,557",資產,112學年度,前一年度,113年7月31日
N03龍埔成長_113學年度財務報告.pdf,5,其他流動資產,"5,806",資產,113學年度,本年度,114年7月31日
N03龍埔成長_113學年度財務報告.pdf,5,其他流動資產,"5,535",資產,112學年度,前一年度,113年7月31日
N03龍埔成長_113學年度財務報告.pdf,5,流動資產合計,"6,167,351",資產,113學年度,本年度,114年7月31日
N03龍埔成長_113學年度財務報告.pdf,5,流動資產合計,"6,441,870",資產,112學年度,前一年度,113年7月31日
N03龍埔成長_113學年度財務報告.pdf,5,資遺費準備金,"428,137",資產,113學年度,本年度,114年7月31日
N03龍埔成長_113學年度財務報告.pdf,5,資遺費準備金,"374,643",資產,112學年度,前一年度,113年7月31日
N03龍埔成長_113學年度財務報告.pdf,5,業務發展準備金,"7,629,301",資產,113學年度,本年度,114年7月31日
N03龍埔成長_113學年度財務報告.pdf,5,業務發展準備金,"5,929,501",資產,112學年度,前一年度,113年7月31日
N03龍埔成長_113學年度財務報告.pdf,5,代管財產,"144,960",資產,113學年度,本年度,114年7月31日
N03龍埔成長_113學年度財務報告.pdf,5,代管財產,"112,760",資產,112學年度,前一年度,113年7月31日
N03龍埔成長_113學年度財務報告.pdf,5,購置財產,"610,119",資產,113學年度,本年度,114年7月31日
N03龍埔成長_113學年度財務報告.pdf,5,購置財產,"610,119",資產,112學年度,前一年度,113年7月31日
N03龍埔成長_113學年度財務報告.pdf,5,存出保證金,"7,200",資產,113學年度,本年度,114年7月31日
N03龍埔成長_113學年度財務報告.pdf,5,存出保證金,"7,200",資產,112學年度,前一年度,113年7月31日
N03龍埔成長_113學年度財務報告.pdf,5,非流動資產合計,"8,819,717",資產,113學年度,本年度,114年7月31日
N03龍埔成長_113學年度財務報告.pdf,5,非流動資產合計,"7,034,223",資產,112學年度,前一年度,113年7月31日
N03龍埔成長_113學年度財務報告.pdf,5,資產總計,"$14,987,068",資產,113學年度,本年度,114年7月31日
N03龍埔成長_113學年度財務報告.pdf,5,資產總計,"$13,476,093",資產,112學年度,前一年度,113年7月31日
N03龍埔成長_113學年度財務報告.pdf,5,應付票據,"$32,268",負債及淨值,113學年度,本年度,114年7月31日
N03龍埔成長_113學年度財務報告.pdf,5,應付票據,"$170,448",負債及淨值,112學年度,前一年度,113年7月31日
N03龍埔成長_113學年度財務報告.pdf,5,應付帳款,"66,436",負債及淨值,113學年度,本年度,114年7月31日
N03龍埔成長_113學年度財務報告.pdf,5,應付帳款,"34,840",負債及淨值,112學年度,前一年度,113年7月31日
