檔案名稱,項目,113學年度金額,112學年度金額
N03龍埔成長_113學年度財務報告.pdf,營業活動之現金流量：,,
N03龍埔成長_113學年度財務報告.pdf,本期稅前餘絀,"$(760,073)","$ 250,734"
N03龍埔成長_113學年度財務報告.pdf,調整項目：,,
N03龍埔成長_113學年度財務報告.pdf,資產／負債淨變動數,,
N03龍埔成長_113學年度財務報告.pdf,應收帳款淨額,"6,000","74,339"
N03龍埔成長_113學年度財務報告.pdf,其他應收款,"(8,186)","73,265"
N03龍埔成長_113學年度財務報告.pdf,預付款項,,"61,563"
N03龍埔成長_113學年度財務報告.pdf,其他流動資產,(271),"(2,002)"
N03龍埔成長_113學年度財務報告.pdf,應付票據,"(138,180)","(224,494)"
N03龍埔成長_113學年度財務報告.pdf,應付帳款,"31,596","(540,061)"
N03龍埔成長_113學年度財務報告.pdf,其他應付款,"272,823","186,432"
N03龍埔成長_113學年度財務報告.pdf,預收款項,"319,363","236,409"
N03龍埔成長_113學年度財務報告.pdf,其他流動負債,(48),48
N03龍埔成長_113學年度財務報告.pdf,營業活動之淨現金流（出）入,"(276,976)","116,233"
N03龍埔成長_113學年度財務報告.pdf,投資活動之現金流量：,,
N03龍埔成長_113學年度財務報告.pdf,投資活動之淨現金流入,,
N03龍埔成長_113學年度財務報告.pdf,籌資活動之現金流量：,,
N03龍埔成長_113學年度財務報告.pdf,籌資活動之淨現金流入,,
N03龍埔成長_113學年度財務報告.pdf,本期現金及約當現金（減少）增加數,"(276,976)","116,233"
N03龍埔成長_113學年度財務報告.pdf,期初現金及約當現金餘額,"6,426,739","6,310,506"
N03龍埔成長_113學年度財務報告.pdf,期末現金及約當現金餘額,"$ 6,149,763","$ 6,426,739"
