檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N03龍埔成長_113學年度財務報告.pdf,6,113學年度,教保費收入,"$ 11,931,000",113
N03龍埔成長_113學年度財務報告.pdf,6,113學年度,教保費收入減項,"(306,130)",113
N03龍埔成長_113學年度財務報告.pdf,6,113學年度,延長照顧服務收入淨額,"186,132",113
N03龍埔成長_113學年度財務報告.pdf,6,113學年度,利息收入,"85,197",113
N03龍埔成長_113學年度財務報告.pdf,6,113學年度,其他收入,"948,203",113
N03龍埔成長_113學年度財務報告.pdf,6,113學年度,收入合計,"12,844,402",113
N03龍埔成長_113學年度財務報告.pdf,6,113學年度,人事費,"8,710,840",113
N03龍埔成長_113學年度財務報告.pdf,6,113學年度,業務費,"498,463",113
N03龍埔成長_113學年度財務報告.pdf,6,113學年度,材料費,"1,183,148",113
N03龍埔成長_113學年度財務報告.pdf,6,113學年度,維護費,"98,854",113
N03龍埔成長_113學年度財務報告.pdf,6,113學年度,修繕購置費,"91,690",113
N03龍埔成長_113學年度財務報告.pdf,6,113學年度,雜支,"5,671",113
N03龍埔成長_113學年度財務報告.pdf,6,113學年度,行政管理費,"182,054",113
N03龍埔成長_113學年度財務報告.pdf,6,113學年度,業務發展費,"1,699,800",113
N03龍埔成長_113學年度財務報告.pdf,6,113學年度,延長照顧服務支出,"185,752",113
N03龍埔成長_113學年度財務報告.pdf,6,113學年度,其他支出,"948,203",113
N03龍埔成長_113學年度財務報告.pdf,6,113學年度,支出合計,"13,604,475",113
N03龍埔成長_113學年度財務報告.pdf,6,113學年度,本期稅前餘絀,"(760,073)",113
N03龍埔成長_113學年度財務報告.pdf,6,113學年度,所得稅費用,-,113
N03龍埔成長_113學年度財務報告.pdf,6,113學年度,本期稅後餘絀,"$(760,073)",113
