檔案名稱,報告學年度,章節,內容
N03龍埔成長_113學年度財務報告.pdf,113學年度,關係人交易,"(一) 關係人之名稱及關係
關係人名稱：財團法人成長文教基金會，與本幼兒園之關係：本幼兒園之受託法人
(二) 與關係人之重大交易事項
1. 行政管理費
關係人名稱：財團法人成長文教基金會，113.8.1~114.7.31：$ 179,804，112.8.1~113.7.31：$ 36,682
2. 其他應付款
關係人名稱：財團法人成長文教基金會，114年7月31日：$ 175,663，113年7月31日：$ 36,682"
N03龍埔成長_113學年度財務報告.pdf,113學年度,質抵押資產,無。
N03龍埔成長_113學年度財務報告.pdf,113學年度,重大承諾事項及或有事項,新北市政府與龍埔成長幼兒園母機構財團法人成長文教基金會，簽訂委託辦理新北市龍埔成長非營利幼兒園契約書，委託年限自 113 年 8 月 1 日至 117 年 7 月 31 日，且連續 3 學年通過績效考評者，依據契約書第 17 條規定，母機構應於本契約屆滿 8 個月前向新北市政府提出續辦意願，有續辦意願者，應提具後續 4 學年之經營計畫書，申請繼續辦理，經新北市政府同意後繼續辦理。
