檔案名稱,報告學年度,章節,內容
N03龍埔成長_110學年度財務報告.pdf,110學年度,關係人交易,"財團法人成長文教基金會 111年7月31日：$46,988，110年7月31日：$101,761"
N03龍埔成長_110學年度財務報告.pdf,110學年度,質抵押資產,無。
N03龍埔成長_110學年度財務報告.pdf,110學年度,重大承諾事項及或有事項,新北市政府與龍埔成長幼兒園母機構財團法人成長文教基金會，簽訂委託辦理「龍埔成長非營利幼兒園」契約書，委託年限自 109 年 8 月 1 日至 113 年 7 月 31 日，依據契約書第 16 條規定，受委託辦理之非營利幼兒園，連續 3 學年通過績效考評者，得於期間屆滿 8 個月前，提出後續 4 學年之經營計畫向新北市政府申請延長契約，申請期限最長不能超過 4 學年，並以延長 1 次為限。但未依政府採購法第 22 條第 1 項第 7 款規定於原招標公告及招標文件敘明延長期間者，不在此限。
