檔案名稱,項目,110學年度金額,109學年度金額
N03龍埔成長_110學年度財務報告.pdf,營業活動之現金流量：,,
N03龍埔成長_110學年度財務報告.pdf,本期稅前餘額,"767,673","269,190"
N03龍埔成長_110學年度財務報告.pdf,調整項目：,,
N03龍埔成長_110學年度財務報告.pdf,資產/負債淨變動數,,
N03龍埔成長_110學年度財務報告.pdf,應收帳款淨額,"(63,151)","231,474"
N03龍埔成長_110學年度財務報告.pdf,其他應收款,(531),31
N03龍埔成長_110學年度財務報告.pdf,預付款項,"2,006",(656)
N03龍埔成長_110學年度財務報告.pdf,其他流動資產,"(2,550)",
N03龍埔成長_110學年度財務報告.pdf,應付票據,"(252,071)","(29,669)"
N03龍埔成長_110學年度財務報告.pdf,應付帳款,"287,547","(119,319)"
N03龍埔成長_110學年度財務報告.pdf,其他應付款,"153,652","564,925"
N03龍埔成長_110學年度財務報告.pdf,預收款項,"(31,933)","573,823"
N03龍埔成長_110學年度財務報告.pdf,其他流動負債,(4),
N03龍埔成長_110學年度財務報告.pdf,營業活動之淨現金流入,"860,638","1,489,799"
N03龍埔成長_110學年度財務報告.pdf,投資活動之現金流量：,,
N03龍埔成長_110學年度財務報告.pdf,投資活動之淨現金流入,,
N03龍埔成長_110學年度財務報告.pdf,籌資活動之現金流量：,,
N03龍埔成長_110學年度財務報告.pdf,籌資活動之淨現金流入,,
N03龍埔成長_110學年度財務報告.pdf,本期現金及約當現金增加數,"860,638","1,489,799"
N03龍埔成長_110學年度財務報告.pdf,期初現金及約當現金餘額,"4,734,132","3,244,333"
N03龍埔成長_110學年度財務報告.pdf,期末現金及約當現金餘額,"5,594,770","4,734,132"
