檔案名稱,報告學年度,項目,預算數,決算數,差異數,差異率,預決算檢查結果
N03龍埔成長_110學年度財務報告.pdf,110學年度,收入,"$ 10,429,560","$ 11,955,951","$ 1,526,391",115,
N03龍埔成長_110學年度財務報告.pdf,110學年度,教保費收入淨額,"10,429,560","9,988,378","(441,182)",96,
N03龍埔成長_110學年度財務報告.pdf,110學年度,教保費收入,"10,429,560","10,094,201","(335,359)",97,
N03龍埔成長_110學年度財務報告.pdf,110學年度,教保費收入(家長繳費),"2,700,000","2,140,982","(559,018)",79,
N03龍埔成長_110學年度財務報告.pdf,110學年度,教保費收入(政府學費差額補助),"7,729,560","7,953,219","223,659",103,
N03龍埔成長_110學年度財務報告.pdf,110學年度,教保費收入減項,-,"(105,823)","(105,823)",-,
N03龍埔成長_110學年度財務報告.pdf,110學年度,五日未上課退費,-,"(96,073)","(96,073)",-,
N03龍埔成長_110學年度財務報告.pdf,110學年度,轉學/轉出退費,-,"(9,750)","(9,750)",-,
N03龍埔成長_110學年度財務報告.pdf,110學年度,政府學費差額補助退費,-,-,-,-,
N03龍埔成長_110學年度財務報告.pdf,110學年度,延後托育收入淨額,-,"289,925","289,925",-,
N03龍埔成長_110學年度財務報告.pdf,110學年度,延後托育收入淨額,-,"289,925","289,925",-,
N03龍埔成長_110學年度財務報告.pdf,110學年度,延後托育收入,-,"336,190","336,190",-,
N03龍埔成長_110學年度財務報告.pdf,110學年度,延後托育收入退費,-,"(46,265)","(46,265)",-,
N03龍埔成長_110學年度財務報告.pdf,110學年度,利息收入,-,"1,917","1,917",-,
N03龍埔成長_110學年度財務報告.pdf,110學年度,其他收入,-,"1,675,731","1,675,731",-,
N03龍埔成長_110學年度財務報告.pdf,110學年度,支出,"10,349,201","11,188,278","839,077",108,
N03龍埔成長_110學年度財務報告.pdf,110學年度,人事費,"7,989,599","7,235,004","(754,595)",91,
N03龍埔成長_110學年度財務報告.pdf,110學年度,園長及教保服務人員薪資(含職務加給),"4,442,664","4,250,308","(192,356)",96,
N03龍埔成長_110學年度財務報告.pdf,110學年度,學前特教師、社工人員、護理人員薪資,"537,503","538,862","1,359",100,
N03龍埔成長_110學年度財務報告.pdf,110學年度,會計、總務、廚工、清潔薪資,"1,186,961","1,131,063","(55,898)",95,
N03龍埔成長_110學年度財務報告.pdf,110學年度,加班費,"612,240","196,409","(415,831)",32,
N03龍埔成長_110學年度財務報告.pdf,110學年度,勞、健保費,"695,743","714,734","18,991",103,
N03龍埔成長_110學年度財務報告.pdf,110學年度,保險費,"12,000","11,957",(43),100,
N03龍埔成長_110學年度財務報告.pdf,110學年度,勞退金提撥,"338,472","324,815","(13,657)",96,
N03龍埔成長_110學年度財務報告.pdf,110學年度,自強活動,"12,000","12,000",-,100,
N03龍埔成長_110學年度財務報告.pdf,110學年度,健康檢查,"4,000","4,100",100,103,
N03龍埔成長_110學年度財務報告.pdf,110學年度,代課費及廚工代班費,"102,334","5,074","(97,260)",5,
N03龍埔成長_110學年度財務報告.pdf,110學年度,資遣費,"45,682","45,682",-,100,
N03龍埔成長_110學年度財務報告.pdf,110學年度,業務費,"562,700","413,394","(149,306)",73,
N03龍埔成長_110學年度財務報告.pdf,110學年度,活動費,"95,000","83,657","(11,343)",88,
