檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N03龍埔成長_110學年度財務報告.pdf,6,110學年度,教保費收入,"$ 10,094,201",111
N03龍埔成長_110學年度財務報告.pdf,6,110學年度,教保費收入減項,"(105,823)",111
N03龍埔成長_110學年度財務報告.pdf,6,110學年度,延後托育收入淨額,"289,925",111
N03龍埔成長_110學年度財務報告.pdf,6,110學年度,利息收入,"1,917",111
N03龍埔成長_110學年度財務報告.pdf,6,110學年度,其他收入,"1,675,731",111
N03龍埔成長_110學年度財務報告.pdf,6,110學年度,收入合計,"11,955,951",111
N03龍埔成長_110學年度財務報告.pdf,6,110學年度,人事費,"7,235,004",111
N03龍埔成長_110學年度財務報告.pdf,6,110學年度,業務費,"413,394",111
N03龍埔成長_110學年度財務報告.pdf,6,110學年度,材料費,"1,126,043",111
N03龍埔成長_110學年度財務報告.pdf,6,110學年度,維護費,"87,399",111
N03龍埔成長_110學年度財務報告.pdf,6,110學年度,修繕購置費,"126,641",111
N03龍埔成長_110學年度財務報告.pdf,6,110學年度,雜支,"18,301",111
N03龍埔成長_110學年度財務報告.pdf,6,110學年度,行政管理費,"117,840",111
N03龍埔成長_110學年度財務報告.pdf,6,110學年度,業務發展費,"98,000",111
N03龍埔成長_110學年度財務報告.pdf,6,110學年度,延後托育支出,"289,925",111
N03龍埔成長_110學年度財務報告.pdf,6,110學年度,其他支出,"1,675,731",111
N03龍埔成長_110學年度財務報告.pdf,6,110學年度,支出合計,"11,188,278",111
N03龍埔成長_110學年度財務報告.pdf,6,110學年度,本期稅前餘絀,"767,673",111
N03龍埔成長_110學年度財務報告.pdf,6,110學年度,所得稅費用,-,111
N03龍埔成長_110學年度財務報告.pdf,6,110學年度,本期稅後餘絀,"$ 767,673",111
