檔案名稱,項目,111學年度金額,110學年度金額
N02山北_111學年度財務報告.pdf,營業活動之現金流量：,,
N02山北_111學年度財務報告.pdf,本期稅前餘絀,"413,861","1,090,311"
N02山北_111學年度財務報告.pdf,調整項目：,,
N02山北_111學年度財務報告.pdf,資產／負債淨變動數,,
N02山北_111學年度財務報告.pdf,應收帳款淨額,"(2,451)","(4,599)"
N02山北_111學年度財務報告.pdf,其他應收款,"(34,344)","(162,195)"
N02山北_111學年度財務報告.pdf,預付款項,"(34,457)","8,385"
N02山北_111學年度財務報告.pdf,其他流動資產,281,"2,326"
N02山北_111學年度財務報告.pdf,應付票據,"(1,299)","(60,999)"
N02山北_111學年度財務報告.pdf,應付帳款,"4,860","(38,042)"
N02山北_111學年度財務報告.pdf,其他應付款,"106,471","(268,471)"
N02山北_111學年度財務報告.pdf,預收款項,"640,838","(48,218)"
N02山北_111學年度財務報告.pdf,其他流動負債,90,
N02山北_111學年度財務報告.pdf,營運產生之現金,"1,093,850","518,498"
N02山北_111學年度財務報告.pdf,本期支付所得稅,,"(25,077)"
N02山北_111學年度財務報告.pdf,營業活動之淨現金流入,"1,093,850","493,421"
N02山北_111學年度財務報告.pdf,投資活動之現金流量：,,
N02山北_111學年度財務報告.pdf,投資活動之淨現金流入,,
N02山北_111學年度財務報告.pdf,籌資活動之現金流量：,,
N02山北_111學年度財務報告.pdf,籌資活動之淨現金流入,,
N02山北_111學年度財務報告.pdf,本期現金及約當現金增加數,"1,093,850","493,421"
N02山北_111學年度財務報告.pdf,期初現金及約當現金餘額,"4,776,291","4,282,870"
N02山北_111學年度財務報告.pdf,期末現金及約當現金餘額,"5,870,141","4,776,291"
