檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N02山北_111學年度財務報告.pdf,6,111學年度,教保費收入,"10,232,832",111
N02山北_111學年度財務報告.pdf,6,111學年度,教保費收入減項,"(99,244)",111
N02山北_111學年度財務報告.pdf,6,111學年度,延後托育收入淨額,"237,300",111
N02山北_111學年度財務報告.pdf,6,111學年度,利息收入,"37,036",111
N02山北_111學年度財務報告.pdf,6,111學年度,其他收入,"2,293,328",111
N02山北_111學年度財務報告.pdf,6,111學年度,收入合計,"12,701,252",111
N02山北_111學年度財務報告.pdf,6,111學年度,人事費,"7,286,602",111
N02山北_111學年度財務報告.pdf,6,111學年度,業務費,"505,083",111
N02山北_111學年度財務報告.pdf,6,111學年度,材料費,"1,115,609",111
N02山北_111學年度財務報告.pdf,6,111學年度,維護費,"52,748",111
N02山北_111學年度財務報告.pdf,6,111學年度,修繕購置費,"24,821",111
N02山北_111學年度財務報告.pdf,6,111學年度,公共事務管理費,"23,499",111
N02山北_111學年度財務報告.pdf,6,111學年度,雜支,"3,120",111
N02山北_111學年度財務報告.pdf,6,111學年度,行政管理費,"125,430",111
N02山北_111學年度財務報告.pdf,6,111學年度,業務發展費,"620,000",111
N02山北_111學年度財務報告.pdf,6,111學年度,延後托育支出,"237,151",111
N02山北_111學年度財務報告.pdf,6,111學年度,其他支出,"2,293,328",111
N02山北_111學年度財務報告.pdf,6,111學年度,支出合計,"12,287,391",111
N02山北_111學年度財務報告.pdf,6,111學年度,本期稅前餘絀,"413,861",111
N02山北_111學年度財務報告.pdf,6,111學年度,所得稅費用,,111
N02山北_111學年度財務報告.pdf,6,111學年度,本期稅後餘絀,"413,861",111
