檔案名稱,項目,110學年度金額,109學年度金額
N01安溪_110學年度財務報告.pdf,營業活動之現金流量：,,
N01安溪_110學年度財務報告.pdf,本期稅前餘絀,"$218,557","$(215,209)"
N01安溪_110學年度財務報告.pdf,調整項目：,,
N01安溪_110學年度財務報告.pdf,資產／負債淨變動數,,
N01安溪_110學年度財務報告.pdf,應收帳款淨額,"36,720","554,902"
N01安溪_110學年度財務報告.pdf,其他應收款,456,(456)
N01安溪_110學年度財務報告.pdf,預付款項,"(95,007)","30,822"
N01安溪_110學年度財務報告.pdf,其他流動資產,"(2,716)","(2,337)"
N01安溪_110學年度財務報告.pdf,應付票據,"17,087","(192,481)"
N01安溪_110學年度財務報告.pdf,其他應付款,"(160,097)","645,925"
N01安溪_110學年度財務報告.pdf,預收款項,"440,750","(563,765)"
N01安溪_110學年度財務報告.pdf,營業活動之淨現金流入,"455,750","257,401"
N01安溪_110學年度財務報告.pdf,投資活動之現金流量：,,
N01安溪_110學年度財務報告.pdf,投資活動之淨現金流入,-,-
N01安溪_110學年度財務報告.pdf,籌資活動之現金流量：,,
N01安溪_110學年度財務報告.pdf,籌資活動之淨現金流入,-,-
N01安溪_110學年度財務報告.pdf,本期現金及約當現金增加數,"455,750","257,401"
N01安溪_110學年度財務報告.pdf,期初現金及約當現金餘額,"5,348,001","5,090,600"
N01安溪_110學年度財務報告.pdf,期末現金及約當現金餘額,"$5,803,751","$5,348,001"
