檔案名稱,項目,111學年度預算數,111學年度決算數,111學年度決算與預算差異,111學年度執行率,110學年度預算數,110學年度決算數,110學年度決算與預算差異,110學年度執行率
N09安興_111學年度財務報告.pdf,收入,"$ 7,186,320","$ 9,125,442","$ 1,939,122",127,"$ 7,186,320","$ 8,902,973","$ 1,716,653",124
N09安興_111學年度財務報告.pdf,教保費收入淨額,"7,186,320","6,957,635","(228,685)",97,"7,186,320","6,932,177","(254,143)",96
N09安興_111學年度財務報告.pdf,教保費收入,"7,186,320","6,981,806","(204,514)",97,"7,186,320","6,990,138","(196,182)",97
N09安興_111學年度財務報告.pdf,教保費收入(家長繳費),"1,440,000","1,105,700","(334,300)",77,"1,800,000","1,376,439","(423,561)",76
N09安興_111學年度財務報告.pdf,教保費收入(政府學費差額補助),"5,746,320","5,876,106","129,786",102,"5,386,320","5,613,699","227,379",104
N09安興_111學年度財務報告.pdf,教保費收入減項,,"(24,171)","(24,171)",,,"(57,961)","(57,961)",
N09安興_111學年度財務報告.pdf,五日未上課退費,,"(24,171)","(24,171)",,,"(51,961)","(51,961)",
N09安興_111學年度財務報告.pdf,轉學/轉出退費,,,,,,"(6,000)","(6,000)",
N09安興_111學年度財務報告.pdf,延後托育收入淨額,,"650,220","650,220",,,"567,480","567,480",
N09安興_111學年度財務報告.pdf,延後托育收入淨額,,"650,220","650,220",,,"567,480","567,480",
N09安興_111學年度財務報告.pdf,延後托育收入,,"681,840","681,840",,,"639,660","639,660",
N09安興_111學年度財務報告.pdf,延後托育收入退費,,"(31,620)","(31,620)",,,"(72,180)","(72,180)",
N09安興_111學年度財務報告.pdf,利息收入,,"41,897","41,897",,,"11,218","11,218",
N09安興_111學年度財務報告.pdf,其他收入,,"1,475,690","1,475,690",,,"1,392,098","1,392,098",
N09安興_111學年度財務報告.pdf,支出,"7,171,445","8,883,790","1,712,345",124,"7,048,949","8,259,804","1,210,855",117
N09安興_111學年度財務報告.pdf,人事費,"5,220,945","4,104,465","(1,116,480)",79,"5,098,449","4,234,041","(864,408)",83
N09安興_111學年度財務報告.pdf,園長及教保服務人員薪資(含職務加给),"2,827,440","2,165,622","(661,818)",77,"2,757,915","2,370,674","(387,241)",86
N09安興_111學年度財務報告.pdf,會計、總務、廚工、清潔薪資,"1,183,653","1,120,408","(63,245)",95,"1,162,797","1,132,099","(30,698)",97
N09安興_111學年度財務報告.pdf,加班費,"398,112","198,381","(199,731)",50,"389,184","43,250","(345,934)",11
N09安興_111學年度財務報告.pdf,勞、健保保費,"475,345","385,239","(90,106)",81,"464,651","406,457","(58,194)",87
N09安興_111學年度財務報告.pdf,保險費,"8,000","6,650","(1,350)",83,"8,000","6,650","(1,350)",83
N09安興_111學年度財務報告.pdf,勞退金提撥,"213,924","171,781","(42,143)",80,"209,100","179,045","(30,055)",86
N09安興_111學年度財務報告.pdf,自強活動,"8,000","9,902","1,902",124,"8,000","18,480","10,480",231
N09安興_111學年度財務報告.pdf,健康檢查,"8,000","1,720","(6,280)",22,"1,000",840,(160),84
N09安興_111學年度財務報告.pdf,代課費及廚工代班費,"68,760","15,051","(53,709)",22,"68,760","47,504","(21,256)",69
N09安興_111學年度財務報告.pdf,資遣費,"29,711","29,711",,100,"29,042","29,042",,100
