檔案名稱,項目,111學年度金額,110學年度金額
N09安興_111學年度財務報告.pdf,"營業活動之現金流量：
本期稅前餘絀","$ 241,652","$ 643,169"
N09安興_111學年度財務報告.pdf,"調整項目：
資產／負債淨變動數
應收帳款淨額","(286,576)","(214,660)"
N09安興_111學年度財務報告.pdf,其他應收款,"(2,077)",-
N09安興_111學年度財務報告.pdf,預付款項,"(39,820)",-
N09安興_111學年度財務報告.pdf,應付帳款,"(76,740)","(302,944)"
N09安興_111學年度財務報告.pdf,其他應付款,"(67,608)","429,892"
N09安興_111學年度財務報告.pdf,預收款項,"101,428","90,000"
N09安興_111學年度財務報告.pdf,營運產生之現金,"(129,741)","645,457"
N09安興_111學年度財務報告.pdf,本期支付所得稅,-,"(34,386)"
N09安興_111學年度財務報告.pdf,營業活動之淨現金流（出）入,"(129,741)","611,071"
N09安興_111學年度財務報告.pdf,"投資活動之現金流量：
存出保證金減少",-,"3,600"
N09安興_111學年度財務報告.pdf,投資活動之淨現金流入,-,"3,600"
N09安興_111學年度財務報告.pdf,"籌資活動之現金流量：
籌資活動之淨現金流入",-,-
N09安興_111學年度財務報告.pdf,本期現金及約當現金（減少）增加數,"(129,741)","614,671"
N09安興_111學年度財務報告.pdf,期初現金及約當現金餘額,"3,960,631","3,345,960"
N09安興_111學年度財務報告.pdf,期末現金及約當現金餘額,"$ 3,830,890","$ 3,960,631"
