檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N09安興_110學年度財務報告.pdf,7,109學年度,教保費收入,"$ 6,779,833",109
N09安興_110學年度財務報告.pdf,7,109學年度,教保費收入減項,"(541,268)",109
N09安興_110學年度財務報告.pdf,7,109學年度,延後托育收入淨額,"603,180",109
N09安興_110學年度財務報告.pdf,7,109學年度,利息收入,"5,675",109
N09安興_110學年度財務報告.pdf,7,109學年度,其他收入,"1,146,360",109
N09安興_110學年度財務報告.pdf,7,109學年度,收入合計,"7,993,780",109
N09安興_110學年度財務報告.pdf,7,109學年度,人事費,"4,400,396",109
N09安興_110學年度財務報告.pdf,7,109學年度,業務費,"302,092",109
N09安興_110學年度財務報告.pdf,7,109學年度,材料費,"631,215",109
N09安興_110學年度財務報告.pdf,7,109學年度,維護費,"220,535",109
N09安興_110學年度財務報告.pdf,7,109學年度,修繕購置費,"102,495",109
N09安興_110學年度財務報告.pdf,7,109學年度,公共事務管理費,"71,860",109
N09安興_110學年度財務報告.pdf,7,109學年度,雜支,"8,616",109
N09安興_110學年度財務報告.pdf,7,109學年度,行政管理費,"59,996",109
N09安興_110學年度財務報告.pdf,7,109學年度,業務發展費,"540,000",109
N09安興_110學年度財務報告.pdf,7,109學年度,延後托育支出,"351,559",109
N09安興_110學年度財務報告.pdf,7,109學年度,其他支出,"1,145,960",109
N09安興_110學年度財務報告.pdf,7,109學年度,支出合計,"7,834,724",109
N09安興_110學年度財務報告.pdf,7,109學年度,本期稅前餘絀,"159,056",109
N09安興_110學年度財務報告.pdf,7,109學年度,所得稅費用,-,109
N09安興_110學年度財務報告.pdf,7,109學年度,本期稅後餘絀,"$ 159,056",109
